b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723244934887657476,2016-04-21 20:20:04,3,b'How much do you actually need to run to reap the health benefits? https://t.co/J8xalALJV1 https://t.co/A5yWAzpwtM',pos,0.8446,0.1554,2016-04-22
723213217145622528,2016-04-21 18:14:02,4,"b""12 months with one cheap disposable razor. Here's the secret... https://t.co/YW8RixYoKo https://t.co/rOGIeJyNgr""",neg,0.0482,0.9518,2016-04-22
723192288189407232,2016-04-21 16:50:52,5,b'RT @ClarkDeals: TODAY: Get a free ice cream cone from @CarvelIceCream! https://t.co/oFZwPnBRR5 #freestuff #dealalert https://t.co/VVRVPm1Wvh',pos,0.9393,0.0607,2016-04-22
723180007263068162,2016-04-21 16:02:04,9,"b""Eyeglasses don't have to cost hundreds of dollars! How to get Rx frames and lenses cheap: https://t.co/ByQNbULVwG https://t.co/JQNPfA2Crg""",neg,0.0008,0.9992,2016-04-22
723174196650463232,2016-04-21 15:38:59,12,"b'RT @ClarkDeals: If you want to get lunch for just $1 today, check out this offer! https://t.co/oFO0gTEvrY #dealalert https://t.co/WkGLFjG8PM'",neg,0.0071,0.9929,2016-04-22
723119189632798721,2016-04-21 12:00:24,4,"b""Here's a radical way to take the cost of what you pay for your phone each month way down: https://t.co/Qi88omcDs4 https://t.co/8rvcpbL4HS""",neg,0.0151,0.9849,2016-04-22
723091161745772544,2016-04-21 10:09:02,3,"b""Want access to today's hottest jobs? See 6 free ways to learn how to code: https://t.co/gg5bGmsGFK https://t.co/K6Gll6T0PN""",pos,0.9989,0.0011,2016-04-22
723029504050896896,2016-04-21 06:04:01,5,b'A good rep is worth its weight in gold! See the 20 most reputable companies in America: https://t.co/hK5SZMQjVk https://t.co/kB3o7BuhIA',pos,0.9955,0.0045,2016-04-22
722967103087644672,2016-04-21 01:56:04,4,b'Looking to maximize your rate of interest as a saver? How to earn 5% APY on your money: https://t.co/0qv4AB6j45 https://t.co/AGDA4mH0B2',neg,0.0273,0.9727,2016-04-21
722929606500569088,2016-04-20 23:27:04,8,b'Top 10 jobs with tons of openings over the next 10 years: https://t.co/t16VZGZu7a https://t.co/0mTiA5ivtc',pos,0.9465,0.0535,2016-04-21
722901361621209089,2016-04-20 21:34:50,2,"b'Clark and our digital writer Theo celebrate #LookAlikeDay every day! Seriously... the hair, glasses &amp; same $8 shirt! https://t.co/0BSF9KSPyf'",pos,0.9825,0.0175,2016-04-21
722897068948197377,2016-04-20 21:17:46,12,"b""Looking for ways to cut costs? Here's how to stop paying for home Internet service: https://t.co/i8A4QUUPnz https://t.co/ySLljFTA0L""",pos,0.676,0.324,2016-04-21
722879533804756994,2016-04-20 20:08:05,4,b'See the 6 best mattresses for couples: https://t.co/YOnbJvop8x https://t.co/UzRZIwRAji',pos,0.8762,0.1238,2016-04-21
722861355099774978,2016-04-20 18:55:51,4,b'RT @ClarkDeals: Need a new cell phone? This unlocked LG Nexus 5 is just $170 right now! https://t.co/skOBVQkM3Z https://t.co/Ueml5eNFW0',pos,0.7797,0.2203,2016-04-21
722847465171365888,2016-04-20 18:00:40,3,b'Struggling with high-interest debt? This could be the solution for you... https://t.co/MbSmMPhEOj https://t.co/Yw46psYKiD',neg,0.3751,0.6249,2016-04-21
722817247568211970,2016-04-20 16:00:35,5,"b""What is America's most popular grocery store? There's a new champ in town! https://t.co/DLOpnCtWFE https://t.co/QR6f4YfbT1""",pos,0.7984,0.2016,2016-04-21
722787005357101058,2016-04-20 14:00:25,17,"b""RT @ClarkDeals: Get a $1 sub from Jimmy John's tomorrow! https://t.co/oFO0gTW6Qy #dealalert https://t.co/YQfHAHjes6""",pos,0.6962,0.3038,2016-04-21
722756803964981249,2016-04-20 12:00:24,16,b'Do you know if someone died in the house where you live? This website can tell you! https://t.co/wX6a70UVkR https://t.co/e7remzRJrA',neg,0.0038,0.9962,2016-04-21
722726568271826944,2016-04-20 10:00:16,4,b'See 10 ways to get cheap summer airfare this year: https://t.co/iA9k8FrOvg https://t.co/EeJQW8rbZm',pos,0.8228,0.1772,2016-04-21
722666157711294464,2016-04-20 06:00:13,8,"b""14 money mistakes you don't want to make in your 30s: https://t.co/mmN00Oqsm1 https://t.co/xdLhcV1daq""",neg,0.0004,0.9996,2016-04-21
722596908196175872,2016-04-20 01:25:02,5,b'26 baby names that spell career success: https://t.co/wumAxSfdML https://t.co/Bw9cz65UuH',pos,0.8098,0.1902,2016-04-20
722586017002307584,2016-04-20 00:41:46,9,b'RT @ClarkDeals: This Fitbit Flex is just $29.99 right now at @Bloomingdales: https://t.co/6QQa1XFrNL #dealalert #sizzlindeal https://t.co/o\xe2\x80\xa6',pos,0.5231,0.4769,2016-04-20
722563205390671872,2016-04-19 23:11:07,3,b'Top 20 most reputable companies in America: https://t.co/g24DR0cbcv https://t.co/wWs62pUI2f',neg,0.284,0.716,2016-04-20
722517140570378240,2016-04-19 20:08:04,9,b'.@amazon has unbundled its streaming video service and made it $1 cheaper than @netflix! https://t.co/B6sInhgvUd https://t.co/bwuzlTwEAf',pos,0.986,0.014,2016-04-20
722485080451452929,2016-04-19 18:00:40,10,b'Conventional wisdom says Costco is cheap because of bulk pricing. But is @AldiUSA cheaper? https://t.co/XIL3Hmw6Ff https://t.co/zlbURFuHRy',neg,0.0218,0.9782,2016-04-20
722469297105346562,2016-04-19 16:57:57,6,b'RT @ClarkDeals: Get a free ice cream cone from @CarvelIceCream on Thursday: https://t.co/oFZwPnBRR5 #freestuff #dealalert https://t.co/2qrt\xe2\x80\xa6',pos,0.935,0.065,2016-04-20
722454842854146049,2016-04-19 16:00:31,7,b'20 ways to have a more profitable garage sale: https://t.co/PYnBAKDnbz https://t.co/URENReJll9',pos,0.7139,0.2861,2016-04-20
722441259307114496,2016-04-19 15:06:33,7,b'RT @ClarkDeals: Need cheap fare? Check out these $19 flights today! https://t.co/B8EgzIvuYz #dealalert #TravelTuesday https://t.co/lSE6YWQD\xe2\x80\xa6',neg,0.2735,0.7265,2016-04-20
722378986265796608,2016-04-19 10:59:06,10,b'Warning: Very little-known potential heath risk...Teen dies after using too much deodorant: https://t.co/Qlj9p2gJs9 https://t.co/QfTimku6zb',neg,0.0622,0.9378,2016-04-20
722376463991705605,2016-04-19 10:49:04,9,b'Going to Vegas soon? Keep more money in your pocket with these 5 tips! https://t.co/dzDILsQ193 https://t.co/RZ8K3i3VCx',neg,0.4047,0.5953,2016-04-20
722303757086621696,2016-04-19 06:00:10,6,"b'Good reminder, parents: Asbestos can be found in some crayons, toy kits: https://t.co/DPa8y8ZQyl https://t.co/Z3bXVEODGT'",neg,0.1291,0.8709,2016-04-20
722235525017391104,2016-04-19 01:29:02,12,b'Sometimes you have to spend to save more in the long run! See 6 items not to skimp on: https://t.co/LXhMrUMhUw https://t.co/3rvovoEoUP',pos,0.5864,0.4136,2016-04-19
722204084313333760,2016-04-18 23:24:06,6,b'5 things you should repair instead of replace:  https://t.co/33V5jOLpyw https://t.co/aEx6qupwSj',pos,0.532,0.468,2016-04-19
722173536442261504,2016-04-18 21:22:43,16,b'Paying hundreds of dollars a month for cell phone service? Here are some cheaper options: https://t.co/KqeLWH5i0Q https://t.co/czr3ZnH57Z',pos,0.9639,0.0361,2016-04-19
722152895852875776,2016-04-18 20:00:41,12,b'Want a great deal of flight? 10 things to know about getting the cheapest summer airfare https://t.co/PILMl8a0wA https://t.co/gNq2RaErDi',pos,0.9651,0.0349,2016-04-19
722122795858026498,2016-04-18 18:01:05,1,"b""Looking to shop your auto insurance? Here's how to start the process. https://t.co/zsRM0VcD5o https://t.co/8fY0u2CqsE""",neg,0.1221,0.8779,2016-04-19
722108077055602688,2016-04-18 17:02:36,2,"b'RT @ClarkDeals: This 15.6"" Acer laptop is just $199 at @Microcenter right now! Save $80: https://t.co/Apx8tQAqhL #dealalert https://t.co/Oa\xe2\x80\xa6'",pos,0.5236,0.4764,2016-04-19
722092520339943424,2016-04-18 16:00:47,3,b'3 kinds of family fun home improvement projects! https://t.co/LGD7KdpMLv https://t.co/xbW2ePONAm',pos,0.9022,0.0978,2016-04-19
722066761668026368,2016-04-18 14:18:25,3,"b'VIDEO: As AT&amp;T phases out its 2g network, fraudsters are phasing in a new security system upgrade scam: https://t.co/6ymin9F0kE'",neg,0.0559,0.9441,2016-04-19
722063107363745792,2016-04-18 14:03:54,11,"b'Celebrate #TaxDay with these 30 great deals, discounts and freebies: https://t.co/DN1IqxBcEC https://t.co/Nqua6s3dAm'",pos,0.8987,0.1013,2016-04-19
722050337620783104,2016-04-18 13:13:10,10,"b""RT @ClarkDeals: Tax Day isn't all bad... here are some freebies and discounts on #April18! https://t.co/uhmTZfODzy #taxdaydeals https://t.c\xe2\x80\xa6""",neg,0.0257,0.9743,2016-04-19
721677316351467521,2016-04-17 12:30:54,1,"b'RT @ClarkDeals: Since when could you get a 58"" HDTV for just $350? Right now at @Walmart, you can! https://t.co/my9Zae7KME #deals https://t\xe2\x80\xa6'",neg,0.2427,0.7573,2016-04-18
721313725765038080,2016-04-16 12:26:08,2,"b""RT @ClarkDeals: Are you a tax procrastinator? If so, don't worry -- if you can't use FreeFile, @TaxAct is on sale for just $10! https://t.c\xe2\x80\xa6""",neg,0.0023,0.9977,2016-04-17
721110982479585280,2016-04-15 23:00:30,8,b'Looking for a locksmith online? Beware of this ripoff: https://t.co/e5ngkab9Fz https://t.co/znQ1t3anPd',neg,0.0644,0.9356,2016-04-16
721073189569212417,2016-04-15 20:30:19,6,b'Thinking of renting a home? Watch out for this scam: https://t.co/W3bfFBiNRP https://t.co/JCIaL5N0wQ',neg,0.4673,0.5327,2016-04-16
721073151527030789,2016-04-15 20:30:10,9,"b'Ready to pay off debt? Meet a woman who paid off $50,000 in just six months: https://t.co/Vx56x1Hh7s https://t.co/2XecTQVFx4'",neg,0.0009,0.9991,2016-04-16
721035473674604544,2016-04-15 18:00:27,6,b'Everybody loves a bargain. But skimping on these 6 items could cost you more in the end: https://t.co/rrlxz2baaH https://t.co/YdFY2WxFZW',pos,0.736,0.264,2016-04-16
721005371834245122,2016-04-15 16:00:50,6,"b""Don't throw it out...fix it! See 5 things to repair instead of replacing: https://t.co/CBQiUSM9ba https://t.co/MBXss0ytWy""",neg,0.2844,0.7156,2016-04-16
720992944770138112,2016-04-15 15:11:28,4,"b""RT @ClarkDeals: Say what?! You'll only pay $1 for this gaming headset if you follow these steps: https://t.co/Yz0RZPyteL #dealalert https:/\xe2\x80\xa6""",neg,0.0176,0.9824,2016-04-16
720958099121696769,2016-04-15 12:53:00,7,"b'RT @ClarkDeals: If it\'s a 4K TV you want at the best price, this 55"" 4K HDTV is just $400! https://t.co/eUpoKukHvV #dealalert https://t.co/\xe2\x80\xa6'",pos,0.9676,0.0324,2016-04-16
720944849420025856,2016-04-15 12:00:21,12,b'What are you eating today? This food poisoning expert reveals 6 foods he never eats: https://t.co/zfDDiDROY5 https://t.co/ayUrBsuXcg',neg,0.0089,0.9911,2016-04-16
720914632148320256,2016-04-15 10:00:16,12,"b""You've been using those ketchup cups wrong your entire life... https://t.co/rEDzmU5vdC https://t.co/jCpftvUw5k""",pos,0.5833,0.4167,2016-04-16
720861746341105664,2016-04-15 06:30:07,7,b'5 frugal activities that align with the habits of the wealthy. How many habits do you share? https://t.co/v7PjG9623A https://t.co/GHnXkDsxOq',neg,0.2056,0.7944,2016-04-16
720778745833914368,2016-04-15 01:00:19,6,"b'Tired of ""don\'t buy lattes"" as financial advice? Here\'s real substantive frugal advice! https://t.co/IuZ9wKFKqo https://t.co/ggqnUx6sCf'",neg,0.1579,0.8421,2016-04-15
720748590625202178,2016-04-14 23:00:29,4,b'5 tips for starting a business with a partner: https://t.co/vAAaVFHIz1 #sbachat https://t.co/jBtVWS1FI0',pos,0.6772,0.3228,2016-04-15
720703335284625409,2016-04-14 20:00:39,4,b'This woman says her love of potato chips led to a discovery that may have saved her life: https://t.co/3xNiENWLUX https://t.co/pLvR57ZOVc',pos,0.608,0.392,2016-04-15
720690949446348802,2016-04-14 19:11:26,8,"b""If you aren't the biggest fan of #TaxDay, these 18 #deals &amp; discounts may change your mind: https://t.co/9p8JzHT9Qp https://t.co/JaAdvHg3We""",neg,0.0037,0.9963,2016-04-15
720673167916670976,2016-04-14 18:00:47,8,b'How I went from paying $50/month for phone service to FREE! https://t.co/yPsDcpOzVo https://t.co/VZ28f8YvYk',neg,0.3195,0.6805,2016-04-15
720656316914626561,2016-04-14 16:53:49,4,"b'5 things to know about a virus spreading across the U.S., resulting in at least 20 deaths: https://t.co/GKqYSXIPga https://t.co/E5pkhfmbVW'",neg,0.0464,0.9536,2016-04-15
720642903576477697,2016-04-14 16:00:31,6,b'12 low-maintenance landscaping ideas for any climate https://t.co/ayJRKzYwkT https://t.co/q7swhT1Iul',neg,0.4601,0.5399,2016-04-15
720620143714414592,2016-04-14 14:30:05,4,"b'VIDEO: If the cost of insurance is weighing you down, there may be another way to help with medical bills. https://t.co/HmZeZUKjLX'",neg,0.0002,0.9998,2016-04-15
720615209182879744,2016-04-14 14:10:28,3,"b'RT @ClarkDeals: Looking for a new TV? This 39"" HDTV is just $150, now from @Walmart! https://t.co/mCdz83RlUV #deals #dealalert https://t.co\xe2\x80\xa6'",pos,0.8125,0.1875,2016-04-15
720582461126610945,2016-04-14 12:00:21,9,b'Is your grocery budget out of control? How to feed a family of 4 for $101/week: https://t.co/f8hzckmdd1 #aldi https://t.co/YgQDgPzra0',neg,0.2773,0.7227,2016-04-15
720552223818682368,2016-04-14 10:00:12,5,b'Here are 19 budget-friendly renovation hacks to show your home a little love! https://t.co/4VII4lyMXs https://t.co/5O0t9FHfQy',pos,0.775,0.225,2016-04-15
720491837274755072,2016-04-14 06:00:14,7,"b""A new way to cook bacon?! Don't knock it 'til you try it: https://t.co/C0ACAxi2XN https://t.co/34ho4EWN5u""",neg,0.1137,0.8863,2016-04-15
720442111644934144,2016-04-14 02:42:39,2,"b""5 Facebook tips you didn't know about https://t.co/kpB5kY0Ifw https://t.co/03YKm0EFtC""",neg,0.2578,0.7422,2016-04-14
720416395415007232,2016-04-14 01:00:28,8,"b'Ladies, ever felt creeped out by your Uber driver? This app offers rides for women by women: https://t.co/axVHqBkZxc #ChariotForWomen'",pos,0.643,0.357,2016-04-14
720402393666433024,2016-04-14 00:04:49,3,"b'RT @ClarkDeals: If you want to get healthier while you work, this treadmill desk is 40% off at Amazon! https://t.co/lF4ee3IwTr https://t.co\xe2\x80\xa6'",neg,0.0339,0.9661,2016-04-14
720386266219425798,2016-04-13 23:00:44,10,b'Want access to the best jobs? Here are 6 ways you can learn to code for free! https://t.co/1N3RyVVXbe https://t.co/ivJVd9QFAE',pos,0.9949,0.0051,2016-04-14
720378326519455744,2016-04-13 22:29:11,1,"b'RT @ClarkDeals: This refurbished Chromebook is just $107.99, free shipping! https://t.co/IdkEGu05TQ #dealalert https://t.co/g9UKXNUGrF'",pos,0.8943,0.1057,2016-04-14
720341098183335936,2016-04-13 20:01:15,4,"b'How will the Verizon strike affect your phone, Internet, TV service? https://t.co/equreaWp5L https://t.co/T8qvTVk6qS'",pos,0.6437,0.3563,2016-04-14
720329985286758404,2016-04-13 19:17:06,1,b'RT @ClarkDeals: AT&amp;T is offering some great bundle deals right now including internet &amp; DIRECTV: https://t.co/7YffJEndQb #dealalert https:/\xe2\x80\xa6',pos,0.9807,0.0193,2016-04-14
720310768877441024,2016-04-13 18:00:44,3,"b""OK, the dollar stores versus .@Five Below: Who's better? https://t.co/sxf1K92fSK #frugalfun https://t.co/zoTUlrXT1z""",neg,0.0713,0.9287,2016-04-14
720308298621169664,2016-04-13 17:50:55,1,b'Should I continue trying to pay for a product that a store accidentally refunded me for? Weigh in here: https://t.co/hGF1Okf1WP',neg,0.0087,0.9913,2016-04-14
720280681838850050,2016-04-13 16:01:11,3,"b""Think people are job hopping more in today\xe2\x80\x99s economy? The numbers don't lie... https://t.co/gMATYG9VFn https://t.co/6VKhRsWhWy""",neg,0.37,0.63,2016-04-14
720257795929587714,2016-04-13 14:30:14,3,b'VIDEO: Heads up charity givers: Know who\xe2\x80\x99s really behind that online fundraising account you\xe2\x80\x99re about to donate to. https://t.co/bs5BRRTKiG',neg,0.1248,0.8752,2016-04-14
720220041258512387,2016-04-13 12:00:13,10,b'This simple one-time change gets you almost $200 more a month in retirement! https://t.co/rsCHbBvhbH https://t.co/qTMVDH7HJp',neg,0.3419,0.6581,2016-04-14
720130154807189504,2016-04-13 06:03:02,11,"b""You don't need a lot of capital to start a business! See 5 tips for launching a startup: https://t.co/7J8JSalymV https://t.co/6LoNSPJlFo""",neg,0.4304,0.5696,2016-04-14
720129429922455552,2016-04-13 06:00:10,13,b'Got errors on your credit file? See 9 steps for disputing a mistake on your credit report: https://t.co/hgU6XSzgPz https://t.co/IeZUTSt0W8',neg,0.4835,0.5165,2016-04-14
720054923925127169,2016-04-13 01:04:06,9,"b'Just say no to low-fat milk?! You may want to sit down for this one, skim milk drinkers... https://t.co/PZJ8YZDCQ3 https://t.co/QzxkoOUPkF'",neg,0.0162,0.9838,2016-04-13
720036850786832384,2016-04-12 23:52:17,7,"b'To keep your kitchen from going up in flames, never put these things in the microwave: https://t.co/NG786D3GYJ https://t.co/rIVync6Rgu'",neg,0.0038,0.9962,2016-04-13
720032006063529984,2016-04-12 23:33:02,13,"b""Has your phone told you Tax Day is this Friday? It's wrong! Here's what's going on: https://t.co/ouAm0xxIzU https://t.co/2bZITnRT5y""",pos,0.6765,0.3235,2016-04-13
719990942648954880,2016-04-12 20:49:52,4,"b'RT @ClarkDeals: Need a new TV? Get this 58"" HDTV for just $350 at @Walmart! https://t.co/my9Zae7KME https://t.co/ELO4qq9oyK'",pos,0.8212,0.1788,2016-04-13
719986717151727616,2016-04-12 20:33:04,6,b'How to feed a family of 4 for $101/week https://t.co/kkVnIlzyfT https://t.co/gi1LJAFSpZ',pos,0.6703,0.3297,2016-04-13
719950980079464448,2016-04-12 18:11:04,11,"b'RECALL ALERT: Bought these macaroni, potato or other cold salads at Walmart or Safeway? https://t.co/RzLMLGF0IJ https://t.co/vKC9fOrhuT'",neg,0.0997,0.9003,2016-04-13
719942051639488513,2016-04-12 17:35:35,5,"b""RT @ClarkDeals: @Starbucks has a great deal right now - gain gold status with just one purchase! Here's how: https://t.co/7rk36Qz8Cz https:\xe2\x80\xa6""",pos,0.9891,0.0109,2016-04-13
719918129200046080,2016-04-12 16:00:32,19,b'How to collect $578 worth of free stuff on your birthday -- or any other day of the year! https://t.co/oFx5dyjFMq https://t.co/Ppwl1PzabI',neg,0.4168,0.5832,2016-04-13
719917017726369792,2016-04-12 15:56:07,4,b'Are you living on less than you make in order to retire early AND you live in #Atlanta?! We want to hear from you! Send us a direct message!',neg,0.0235,0.9765,2016-04-13
719913925521862656,2016-04-12 15:43:49,8,b'RT @ClarkDeals: TODAY ONLY! Get a free cone at @benandjerrys Scoop Shops between 12pm &amp; 8pm! https://t.co/Lwe5buR15q #freestuff https://t.c\xe2\x80\xa6',neg,0.0735,0.9265,2016-04-13
719890610686177280,2016-04-12 14:11:11,3,"b""VIDEO: Do online stores need to honor a pricing misprint? Not always. Here's why. https://t.co/ZWu55a5GGu""",neg,0.004,0.996,2016-04-13
719857673169031168,2016-04-12 12:00:18,21,"b""Who says working from home doesn't pay well?! See the 10 highest paying work-at-home gigs: https://t.co/1KEVwKkTZr https://t.co/a4KjyneQAR""",neg,0.2539,0.7461,2016-04-13
719832442845048834,2016-04-12 10:20:02,18,b'Tired of your fruit and veggies spoiling before you eat them? See 29 ways to stop it: https://t.co/vXAeowxBwR https://t.co/SBAAOLuQx9',pos,0.9517,0.0483,2016-04-13
719767052597092352,2016-04-12 06:00:12,8,b'This couple replaced both of their incomes by selling on Amazon https://t.co/Wbw29i4dxb https://t.co/kySvqCPpko',pos,0.6792,0.3208,2016-04-13
719688411850895360,2016-04-12 00:47:43,2,b'RT @ClarkDeals: Need a washer &amp; dryer? This Maytag duo is available now at @hhgregg for just $899! https://t.co/szE3EDB47h #deals https://t\xe2\x80\xa6',pos,0.6657,0.3343,2016-04-12
719661361781813249,2016-04-11 23:00:13,3,b'Cabinet refacing vs. cabinet replacing: Which is right for you? https://t.co/Jgr6HUPi5g https://t.co/VbgmHEpdq2',neg,0.2138,0.7862,2016-04-12
719616120299257856,2016-04-11 20:00:27,11,"b""3 ways to protect yourself from unwanted search results. Here's what you need to know... https://t.co/8NP4mg4wz0 https://t.co/vxs8aXy4sd""",neg,0.1264,0.8736,2016-04-12
719585958899752960,2016-04-11 18:00:36,13,"b""Think working from home doesn't pay well? See the 10 highest paying #wfh jobs: https://t.co/li9ZK7yxYk https://t.co/CrOeg6UTI3""",pos,0.9021,0.0979,2016-04-12
719555762557571072,2016-04-11 16:00:37,7,b'19 spring home improvements on a shoestring: https://t.co/p8rh8ZBCxn https://t.co/lWytJwabyD',neg,0.426,0.574,2016-04-12
719533338147598340,2016-04-11 14:31:30,3,b'VIDEO: Phony customer service reps taking advantage of a recent Kindle update almost cost one man a lot. https://t.co/JewgPZiH58',pos,0.8373,0.1627,2016-04-12
719510101229305856,2016-04-11 12:59:10,3,b'#DEAL ALERT! Incredible flight deal to #Australia: $568 RT from several US cities: https://t.co/B6jyct54N7 https://t.co/WyT4vs6iUz',pos,0.5555,0.4445,2016-04-12
719308484332814337,2016-04-10 23:38:01,15,b'Got #Netflix? Here are 10 things you may not know about the service: https://t.co/aXS5GdyWXr https://t.co/hsF3Ku7QYa',neg,0.1577,0.8423,2016-04-11
719292396832452610,2016-04-10 22:34:05,5,b'Not everything is a great deal at the warehouse clubs...  https://t.co/JF2lqRavjH https://t.co/QBhedL9GAf',pos,0.9821,0.0179,2016-04-11
719283582167068672,2016-04-10 21:59:04,15,"b""It's not about getting rich quick; it's about getting rich the right way. See 11 nuggets of wealth-building wisdom: https://t.co/BaWDR4HUjk""",pos,0.9154,0.0846,2016-04-11
719277806799233024,2016-04-10 21:36:07,5,"b""10 things you didn't know about @AldiUSA ... What would you add to this list? https://t.co/QtUoEzDfcc https://t.co/pXSrsMq53n""",neg,0.0019,0.9981,2016-04-11
719211824407801857,2016-04-10 17:13:55,6,b'RT @ClarkDeals: Check out this amazing travel deal to Australia for $568 round-trip! https://t.co/dcs8ex3x1y #traveldeal #Australia https:/\xe2\x80\xa6',pos,0.9584,0.0416,2016-04-11
719136103538814976,2016-04-10 12:13:02,20,"b""If you're looking for the best deals, here are 9 things you should never buy at Walmart: https://t.co/gGR0DH4St1 https://t.co/O7FrTNC4Hi""",neg,0.136,0.864,2016-04-11
718812378167685120,2016-04-09 14:46:40,9,"b""RT @ClarkDeals: Tomorrow's the last day to get these small kitchen appliances for under $3 at @Kohls! https://t.co/zE1zTD68oa #deals https:\xe2\x80\xa6""",neg,0.0163,0.9837,2016-04-10
718611152444391424,2016-04-09 01:27:04,4,"b""10 surprises you probably didn't know about Netflixhttp://bit.ly/1Wi1ZNO https://t.co/K9l1jGuWGh""",neg,0.0915,0.9085,2016-04-09
718580690393047040,2016-04-08 23:26:01,2,b'7 ways your mudroom could be doing double duty: https://t.co/XnEmqMAwUp https://t.co/B6Y0S708H7',pos,0.5093,0.4907,2016-04-09
718534392491089921,2016-04-08 20:22:03,13,b'Want to make some extra money? This couple replaced both incomes by selling on Amazon. https://t.co/Wbw29i4dxb https://t.co/Q5zzc4qUvZ',neg,0.0827,0.9173,2016-04-09
718501693227307008,2016-04-08 18:12:07,18,"b'Why you should not drink low-fat milk: You may want to sit down for this one, skim lovers! https://t.co/J2xzeoWqUY https://t.co/KfBWWSzzwS'",neg,0.0062,0.9938,2016-04-09
718470980876640256,2016-04-08 16:10:05,11,"b'Starting in May, Netflix\xe2\x80\x99s standard streaming plan will cost $9.99 a month for everyone: https://t.co/r1erc0FdQZ https://t.co/Ojn7XVBZB4'",neg,0.0743,0.9257,2016-04-09
