b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723305271435501568,2016-04-22 00:19:49,0,b'Better than that. Cousins.  https://t.co/RKBQue77ys',neg,0.4517,0.5483,2016-04-22
723278845122498560,2016-04-21 22:34:49,239,b'RT @MarshallRamsey: 2016 has been cruel #Prince #GlennFrey #NatalieCole #MerleHaggard #DavidBowie https://t.co/fzWQOrxbyk',pos,0.8654,0.1346,2016-04-22
723264821127483396,2016-04-21 21:39:05,5,"b""RT @ChrisHogan360: Cincinnati: I'll be signing #RetireInspired books &amp; shaking hands at @BNBuzz tomorrow at 6pm! Hope to see you there. htt\xe2\x80\xa6""",neg,0.0621,0.9379,2016-04-22
723263045946863617,2016-04-21 21:32:02,6,b'Every leader faces challenges. @ChristineCaine shares how to best overcome them on the Leadership Momentum Podcast. https://t.co/7ZaLbdsDU5',pos,0.793,0.207,2016-04-22
723178211060928512,2016-04-21 15:54:56,4,b'Thank you sir. Enjoyed being with you.  https://t.co/JCE2hOhOAx',neg,0.4767,0.5233,2016-04-22
723172454739251202,2016-04-21 15:32:03,7,b'#Cincinnati - Meet the man behind the #RetireInspired movement! @ChrisHogan360 will be signing books at Barnes &amp; Noble Fields Ertel at 6PM',neg,0.3851,0.6149,2016-04-22
723145535708745728,2016-04-21 13:45:05,7,b'Hey #Houston Find out what you need to teach your teen before they leave the house from @rachelcruze around 9:35am CT on @Fox26Houston',neg,0.0526,0.9474,2016-04-22
723129927453663233,2016-04-21 12:43:04,10,b'Parents in #Atlanta catch @rachelcruze on @GoodDayAtlanta around 9:30am ET sharing what your teens must know before they leave the house.',neg,0.3682,0.6318,2016-04-22
723091616706252800,2016-04-21 10:10:50,7,b'51 followers and for some reason you think we need to hear your opinion? So why not?  https://t.co/8YUaybFXoJ',neg,0.0097,0.9903,2016-04-22
723089009358991365,2016-04-21 10:00:28,14,"b'Watch @RachelCruze around 5:30am CT @FoxandFriends She\xe2\x80\x99s talking about budgeting, buying a home and how to have the best kind of vacation'",neg,0.0167,0.9833,2016-04-22
