b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723299071209967616,2016-04-21 23:55:11,0,b'@mlndlrbill lots of theatre in high school and college. Also had TV jobs since 2003!',neg,0.4999,0.5001,2016-04-22
723298848744026112,2016-04-21 23:54:18,0,b'Thanks for watching! https://t.co/NUFjrzQrZC',neg,0.4999,0.5001,2016-04-22
723284237110091776,2016-04-21 22:56:14,0,b'Thank you ! https://t.co/wUBNv19UtZ',pos,0.508,0.492,2016-04-22
723284201777319936,2016-04-21 22:56:06,0,b'@aaron_epstein @BudgetsAreSexy thank u!',pos,0.5374,0.4626,2016-04-22
723270420686864388,2016-04-21 22:01:20,0,b'.@ThinkYoungMedia shares her #1 must-do piece of advice for aspiring entrepreneurs #SoMoney https://t.co/Qk2Y3UWXJ7',neg,0.0563,0.9437,2016-04-22
723255610490408960,2016-04-21 21:02:29,0,b'@GiovanniRI thank you so much!',neg,0.2911,0.7089,2016-04-22
723253189416476676,2016-04-21 20:52:52,0,b'Thank u very much! @gieriet @garyvee @FollowLeaderTV',neg,0.447,0.553,2016-04-22
723240194913251328,2016-04-21 20:01:14,0,b'Would you kindly fill out my listener survey? I just wanna learn more abt u so you can get the best out of #SoMoney https://t.co/1zMrYxsiNt',pos,0.7929,0.2071,2016-04-22
723233848763531265,2016-04-21 19:36:01,0,b'#rip Prince',pos,0.5374,0.4626,2016-04-22
723224656832942081,2016-04-21 18:59:29,4,"b'RT @FollowLeaderTV: What was it like to follow social media rockstar, @garyvee?\n\n@FARNOOSH explains here: https://t.co/kFQGJmgFyr https://t\xe2\x80\xa6'",neg,0.0894,0.9106,2016-04-22
723209884595052545,2016-04-21 18:00:47,1,b'Interested in starting or working for a non profit? @ThinkYoungMedia shares how she did it on #SoMoney https://t.co/NmdPClVHys',neg,0.1965,0.8035,2016-04-22
723182979481251840,2016-04-21 16:13:53,0,b'You cant watch online? @freshfey @FollowLeaderTV @garyvee',neg,0.4672,0.5328,2016-04-22
723179580618641408,2016-04-21 16:00:22,0,b'#TBT to my #SoMoney interview with the hysterical + inspiring @MargaretCho. This is an all-time favorite. https://t.co/9xQEsbswkW',pos,0.989,0.011,2016-04-22
723176792719138817,2016-04-21 15:49:18,13,"b""want to watch last night's ep of @FollowLeaderTV w/ @garyvee again and again and again? You got it. https://t.co/Dt7uQhXnPb #followtheleader""",pos,0.65,0.35,2016-04-22
