b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723211968794992640,2016-04-21 18:09:04,0,b'Try it! RT @behaviorgap: Taking a Cold Shower: A Release Valve for Advisors https://t.co/nAllWeMmQj https://t.co/CiGLf0WxSH',pos,0.8063,0.1937,2016-04-22
723188798960611328,2016-04-21 16:37:00,0,"b'For optimum productivity, stand AND sit...and listen to Mozart. https://t.co/DrlnZGPgsJ'",neg,0.364,0.636,2016-04-22
723167744313581570,2016-04-21 15:13:20,1,b'RT @hispanicmpr: Book profile: Simple Money @TimMaurer https://t.co/5iZDcVWr6p https://t.co/5rjepdltPc',pos,0.7773,0.2227,2016-04-22
723120260497309698,2016-04-21 12:04:39,76,b'RT @masnOrioles: WHOA. #IBackTheBirds https://t.co/jKTZXaQk7q',pos,0.5374,0.4626,2016-04-22
723114578884874241,2016-04-21 11:42:05,5,b'RT @behaviorgap: The No Complaining Project https://t.co/QPACxOPTwb https://t.co/VKJQjeOxl1',neg,0.3607,0.6393,2016-04-22
722831024162521088,2016-04-20 16:55:20,0,"b""@hispanicmpr I don't think so, actually. I was moving and am sure I missed a lot. Would you mind resending?""",neg,0.0745,0.9255,2016-04-21
722800829409935360,2016-04-20 14:55:21,1,b'RT @MarkLeibman: Timeless wisdom in an ancient art form: Bad Market Haiku. About #investing and #planning and the #stockmarket... https://t\xe2\x80\xa6',neg,0.0605,0.9395,2016-04-21
722796922625474560,2016-04-20 14:39:49,0,"b'Thanks for your #SimpleMoney mention, @hispanicmpr! https://t.co/hUQLJMIBSv'",neg,0.4467,0.5533,2016-04-21
722773619131228160,2016-04-20 13:07:13,6,"b""RT @CFAinstitute: That's true. Deciding what NOT to do is as important as deciding what to do on #socialmedia @Proteus1994 #CFAInvest""",neg,0.3932,0.6068,2016-04-21
722764307356712960,2016-04-20 12:30:13,0,"b'A Rational Explanation for Irrational Investing https://t.co/nU1w1dbvbD # via @HuffPostBiz Thanks for the #SimpleMoney mention, @DanSolin!'",pos,0.92,0.08,2016-04-21
722762502371561472,2016-04-20 12:23:03,1,"b'RT @julie_segal: @jasonzweigwsj if mutual funds, like every consumer biz on planet, sent a bill for services, it would change. Hidden fees\xe2\x80\xa6'",neg,0.0011,0.9989,2016-04-21
722762476111077376,2016-04-20 12:22:57,49,"b'RT @jasonzweigwsj: for all those who think ""you get what you pay for"" in fund management https://t.co/yU2vHmgjvF https://t.co/Hp7jv7WroU'",neg,0.011,0.989,2016-04-21
722752214863867904,2016-04-20 11:42:10,0,b'YOU are the primary determinant of your #investment success--through your contributions. https://t.co/B51IHM9gL5\xe2\x80\xa6n-7-simple-steps/ @CNBC',pos,0.5935,0.4065,2016-04-21
722642756775067649,2016-04-20 04:27:13,2,"b'RT @KentSchmidgall: \xe2\x80\x9cIf you miss 100 percent of the shots, get off the ice.\xe2\x80\x9d @TimMaurer https://t.co/n3zHizsc5e'",neg,0.1774,0.8226,2016-04-20
722519440332582912,2016-04-19 20:17:12,1,"b""Monitor--but don't micro-manage--your #investment portfolio. https://t.co/O5lIAnNZdl\xe2\x80\xa6n-7-simple-steps/ #SimpleMoney""",neg,0.0601,0.9399,2016-04-20
722487241591955456,2016-04-19 18:09:16,0,"b'Because we have no control over market fluctuations, control what you can. https://t.co/pEVJAkTIhv\xe2\x80\xa6n-7-simple-steps/ #SimpleMoney'",neg,0.3078,0.6922,2016-04-20
722464034549800960,2016-04-19 16:37:03,0,b'Modern Portfolio Theory + #BehavioralFinance = The #SimpleMoney Portfolio https://t.co/kbWf0Hzjq2\xe2\x80\xa6n-7-simple-steps/',pos,0.5164,0.4836,2016-04-20
722438398401757184,2016-04-19 14:55:11,2,b'Listen to @larryswedroe: You oughta be able to explain your investment strategy to a fifth grader. https://t.co/vsZz8OxrWv\xe2\x80\xa6n-7-simple-steps/',pos,0.6967,0.3033,2016-04-20
