b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723253282458595329,2016-04-21 20:53:14,1,b'Active stocks breaking down to new lows https://t.co/mLc5pFBQr5   1:53pm pst',neg,0.1935,0.8065,2016-04-22
723209813765713920,2016-04-21 18:00:30,2,b'High relative volume breakout stocks https://t.co/nMliX17A5L #stocks',pos,0.8406,0.1594,2016-04-22
723180085402963970,2016-04-21 16:02:23,0,b'Mid-Day update:  Stocks to Watch https://t.co/KpMaQmb7gN   9:02am pst',neg,0.1244,0.8756,2016-04-22
723174332864729090,2016-04-21 15:39:31,2,"b""Stocks seen getting ready to 'break higher' https://t.co/pUTFAgOS64 $SPY $SPX""",neg,0.0109,0.9891,2016-04-22
723165082599858178,2016-04-21 15:02:46,0,b'Top breakouts since yesterday https://t.co/c06FKxqM2i  8:02am pst',pos,0.5849,0.4151,2016-04-22
723138432470409216,2016-04-21 13:16:52,2,b'Breakout Watch https://t.co/KpMaQmb7gN   6:09am pst',pos,0.5374,0.4626,2016-04-22
723109335128100865,2016-04-21 11:21:14,1,b'Best performing breakout stocks of the day https://t.co/HcVmgprObv $ADPT $STRP $CLD  at  4:21am pst',pos,0.8616,0.1384,2016-04-22
723023964759420928,2016-04-21 05:42:00,1,b'What are Breakout Stocks? https://t.co/laHZpgO8cB',neg,0.391,0.609,2016-04-22
722993761341460480,2016-04-21 03:41:59,0,b'Monster Breakouts https://t.co/tJ3nkKIZN0',pos,0.5374,0.4626,2016-04-21
722946442684289024,2016-04-21 00:33:58,1,b'Stocks Watch https://t.co/KpMaQmb7gN   5:33pm pst',pos,0.5374,0.4626,2016-04-21
722891061001981953,2016-04-20 20:53:54,0,b'Get the Top 10 each day https://t.co/lomXsgrnFd  1:53pm pst',neg,0.4999,0.5001,2016-04-21
722850422637985792,2016-04-20 18:12:25,2,"b'142 new breakout highs, 159 new breakdown lows  https://t.co/ReOGVz4xLV'",pos,0.5555,0.4445,2016-04-21
722817315293646849,2016-04-20 16:00:51,0,b'High volume breakout stocks https://t.co/nMliX17A5L #stocks',pos,0.6371,0.3629,2016-04-21
722802112262856704,2016-04-20 15:00:27,0,b'Breakout stocks up the most since yesterday https://t.co/c06FKxqM2i  8:00am pst',pos,0.7721,0.2279,2016-04-21
