b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
722945062523518976,2016-04-21 00:28:29,2,b'Inflation index exchange-traded bond funds this year have already exceeded flows for all of 2015. \nhttps://t.co/RTJPuQRCEm',pos,0.8443,0.1557,2016-04-21
722855408596099073,2016-04-20 18:32:14,3,b'Hedge Funds see largest outflows since mid 2009 - in 1Q.\nhttps://t.co/X3aPxkS5jh',neg,0.2157,0.7843,2016-04-21
722769593522106368,2016-04-20 12:51:14,1,b'Architecture Billings Index Ends 1Q on a high note\nhttps://t.co/CK3I5Wyufq',pos,0.6415,0.3585,2016-04-21
722506411494805504,2016-04-19 19:25:26,2,b'Ben Bernanke\xe2\x80\x99s blog on Helicopter Money \xe2\x80\x93 an interesting read.https://t.co/megZE09P7P',pos,0.9272,0.0728,2016-04-20
722398953652809728,2016-04-19 12:18:26,1,b'Lending growth shows signs of improvement in Europe https://t.co/PdlMBZyywe',neg,0.3431,0.6569,2016-04-20
722016806064562176,2016-04-18 10:59:55,3,b'Investors betting on further strength in gold and the yen. \nhttps://t.co/irmoBPdy9L',pos,0.9685,0.0315,2016-04-19
721798633880961024,2016-04-17 20:32:59,4,b'ECB not happy with weak Euro but no plans to weaken against dollar just yet https://t.co/XZqhDP7jf6',neg,0.0492,0.9508,2016-04-18
720952075249664001,2016-04-15 12:29:04,1,b'US says China to scrap some export subsidies to cool friction on tradehttp://uk.reuters.com/article/us-usa-china-trade-idUKKCN0XB1UQ',pos,0.7529,0.2471,2016-04-16
720581827845627904,2016-04-14 11:57:50,9,b'Yesterday was the worst day for the XLP vs the SPX in 4.5 years.',neg,0.2503,0.7497,2016-04-15
720243647753633793,2016-04-13 13:34:01,0,b'Dividend growth slows in 1Q\nhttps://t.co/U0P0sSosPF',pos,0.7818,0.2182,2016-04-14
719862171446829060,2016-04-12 12:18:10,1,b'Global music industry post first rev y/y increase since 1998. \n\nhttps://t.co/e5IyM1MWZG',pos,0.7557,0.2443,2016-04-13
719514843443806208,2016-04-11 13:18:01,2,b'New earnings-stripping rules may impact thousands of companies \nhttps://t.co/th9pzfQsT0',neg,0.1782,0.8218,2016-04-12
719514783356174336,2016-04-11 13:17:46,6,b'US oil firms feel credit squeeze from the banks \xe2\x80\x93 tough reality\nhttps://t.co/SQ6E1oASPU',neg,0.2962,0.7038,2016-04-12
