b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg
723300557272825856,2016-04-22 00:01:05,0,b'Why Self Care\xc2\xa0Is So Important: https://t.co/aoaNaGDhl5 via @lifehacker',pos,0.8535,0.1465
723210010285711362,2016-04-21 18:01:17,0,b'How to create a killer @LinkedIn r\xc3\xa9sum\xc3\xa9 in 5 minutes: https://t.co/oT7uKrO96l via @Inc @bi_contributors',neg,0.2465,0.7535
723141842490015744,2016-04-21 13:30:25,1,"b""Quick #money tip: Talk to your parents about their finances. It's very important to know where they're at as they head into retirement.""",neg,0.0207,0.9793
723006244756148225,2016-04-21 04:31:36,78,"b'RT @girlsHBO: .@jennyslate on riding bikes, being a woman in comedy and her experience on #Girls. \xf0\x9f\x9a\xb2\nhttps://t.co/leDrRxfKaJ'",pos,0.8074,0.1926
723004831011459072,2016-04-21 04:25:59,1,"b""RT @mogeladze1: CFP @SophiaBera answers: 'What should I include in a prenup?' https://t.co/i63XdF2qyA via @bi_contributors""",neg,0.3444,0.6556
722938226995027969,2016-04-21 00:01:19,0,"b'Being a Woman Will Cost You $430,480 Over Your Working Lifetime: https://t.co/Y3RB2zZ9Y7 via @business'",neg,0.1708,0.8292
722934632807665664,2016-04-20 23:47:02,0,"b""@MichaelKitces My parents were like: your friend Michael wrote a really good article. We'll send it to you! \xf0\x9f\x98\x84""",neg,0.1312,0.8688
722933834967228416,2016-04-20 23:43:52,0,b'When your parents email you articles that your friends write @michaelkitces! RT https://t.co/lkGxSHgMrB via @HuffPost50',pos,0.8109,0.1891
722933269268856834,2016-04-20 23:41:37,0,"b""I'm going to Florence and the Machine: How Beautiful Tour on May 19, 2016 and I'm taking my mom! https://t.co/tC4ExHRpS7""",pos,0.9424,0.0576
722847665856364544,2016-04-20 18:01:28,0,b'Trying to mail in your tax returns from #Coachella might be the most #Millennial thing of all time: https://t.co/V4a757kvZ3 via @MercNews',neg,0.1096,0.8904
722833904802099201,2016-04-20 17:06:47,0,"b'How to Pay for Grad School, Law School, or Your MBA - https://t.co/lGFrfe7M81'",neg,0.0692,0.9308
722779359132704769,2016-04-20 13:30:02,0,b'Getting married? My @businessinsider Ask a Financial Planner column discusses how to know if you need a prenup: https://t.co/hB0CV3WqAi',neg,0.1991,0.8009
