b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg
723258853245243392,2016-04-21 21:15:22,2,b'One expected casualty of new rules: banker bonuses     https://t.co/lhVz8M8ahC via @WSJ',pos,0.935,0.065
723248031441793024,2016-04-21 20:32:22,5,"b'Microsoft, Alphabet shares drop after earnings misses https://t.co/8BMXKy1nal via @WSJ'",neg,0.2969,0.7031
723246115508903936,2016-04-21 20:24:45,1,b'RT @minzengwsj: Rough patch: Broad wave of selling swept through European bond markets and rippled into US. https://t.co/jB4uWwX7SU via @WSJ',pos,0.9655,0.0345
723245796947275776,2016-04-21 20:23:29,8,b'Stocks snap a 3 day winning streak; Dow ends down 113 points https://t.co/5gMH1vL0jB via @WSJ https://t.co/dtSbNOLPA4',neg,0.2929,0.7071
723244927069622272,2016-04-21 20:20:02,11,b'Q&amp;A: What the proposed new Wall Street pay rules mean \xf0\x9f\x94\x93 https://t.co/1yDahr3GUS',neg,0.0232,0.9768
723241099851079680,2016-04-21 20:04:50,8,b'The Long Slog to Earn $100 (From Government Bonds) https://t.co/4WYwTiyshY https://t.co/z4i2Qyinqy',neg,0.1067,0.8933
723227701868376065,2016-04-21 19:11:35,2,b'Are You in the Wall Street Clawback Club? https://t.co/fUjmC3qLXI via @WSJ',pos,0.9871,0.0129
723220733967630336,2016-04-21 18:43:54,6,b'Hot emerging-market bet: New leaders \xf0\x9f\x94\x93 https://t.co/D0y7MNDdy9',pos,0.913,0.087
723217920633917440,2016-04-21 18:32:43,2,"b'The cloud in the silver lining: As silver nears a one-year high, some say it is getting ahead of itself. https://t.co/JO7BYOGne2 via @WSJ'",pos,0.5819,0.4181
723211399481036801,2016-04-21 18:06:48,8,b'Are Short Squeezes Driving This Stock Rally? https://t.co/dsGOmONmq3 via @WSJ',pos,0.8902,0.1098
723190492050001921,2016-04-21 16:43:44,3,b'Ackman Catches Some Luck: Fund Jumps in April  https://t.co/RfMAhqtGdu via @WSJ',pos,0.9767,0.0233
723179729126223874,2016-04-21 16:00:58,14,b'Fed rate talk is back: Dollar up as strong economic data boost bets on a June move https://t.co/oRzA2ijZGa via @WSJ',pos,0.8893,0.1107
723165045274763265,2016-04-21 15:02:37,5,b'New rules for curbing Wall Street pay are out \xf0\x9f\x94\x93 https://t.co/YsKmmgcnVF',pos,0.6632,0.3368
722832372408786945,2016-04-20 17:00:41,7,"b""Mitsubishi scandal isn't like Volkswagen's, stocks show https://t.co/kZFglcWJch""",neg,0.3574,0.6426
