b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg
723284688983494656,2016-04-21 22:58:02,0,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/9Wwa8r2b58'",neg,0.3836,0.6164
723268896384536577,2016-04-21 21:55:17,0,"b'""You\'re a fiduci-what?"" How to have a great conversation with clients about how you put them first. https://t.co/vJhGoB058u'",pos,0.8459,0.1541
723268592775639040,2016-04-21 21:54:04,2,b'Honesty Should Top Your Advisor Checklist https://t.co/HhzUPCKteA https://t.co/jm3gAtMQL2',neg,0.0524,0.9476
723257544811110401,2016-04-21 21:10:10,0,"b'MT @TheBAMALLIANCE: @DanSolin on how to be a ""high-information"" investor. @HuffingtonPost https://t.co/V8ZM3KnegK'",neg,0.2249,0.7751
723239990143160321,2016-04-21 20:00:25,1,"b'Advisors: When I say, ""Take a cold shower,"" I\'m talking to you. https://t.co/VzqtEmK1Uv'",neg,0.0132,0.9868
723209783608774656,2016-04-21 18:00:23,3,b'Financial advisors need to take care of themselves. One way might be cold showers. I speak from personal experience. https://t.co/VzqtEmK1Uv',neg,0.0079,0.9921
723205963717742592,2016-04-21 17:45:12,9,"b'Salespeople run around looking for people to sell to. Advisors ask a question: ""Help me understand your needs."" https://t.co/Dk1RpvISjR'",pos,0.9442,0.0558
723182068780421120,2016-04-21 16:10:15,10,"b""Put your clients at the center of the relationship &amp; you can't go wrong. https://t.co/xMMlKc4cDk @newsfromIN https://t.co/LW2HlAQbQn""",neg,0.0115,0.9885
723164588934574081,2016-04-21 15:00:48,0,b'Below the Waterline - Taking a Cold Shower: A Release Valve for Advisors https://t.co/VzqtEmK1Uv https://t.co/tURZ0Y56Rk',pos,0.8428,0.1572
722939935301509120,2016-04-21 00:08:06,5,b'The No Complaining Project https://t.co/QPACxOPTwb https://t.co/VKJQjeOxl1',neg,0.3804,0.6196
722877752160952320,2016-04-20 20:01:01,7,"b'One of the hardest (and most common) questions I\xe2\x80\x99m asked is, \xe2\x80\x9cHow do I find an adviser who I can trust?\xe2\x80\x9d https://t.co/HhzUPCKteA'",neg,0.0508,0.9492
722847563959910400,2016-04-20 18:01:03,4,b'I want to assure you that just because real advisors are hard to find doesn\xe2\x80\x99t mean they don\xe2\x80\x99t exist. https://t.co/HhzUPCKteA',neg,0.0606,0.9394
722837527615418368,2016-04-20 17:21:10,3,b'How I stay so motivated &amp; excited about my many project: https://t.co/2R8C4gY2sf https://t.co/RAy7vjaUNS',pos,0.645,0.355
722802327149744128,2016-04-20 15:01:18,1,b'Honesty Should Top Your Advisor Checklist https://t.co/HhzUPCKteA https://t.co/OxHJ0DYGqE',neg,0.0524,0.9476
722531507965968390,2016-04-19 21:05:10,0,b'MT @larryswedroe: Can analysts pick #stocks for the long run? Taking a closer look at post-revision drift anomaly. https://t.co/9ArNFpMSKA',pos,0.7595,0.2405
722516915642626048,2016-04-19 20:07:11,4,b'Choose To Be Uncomfortable https://t.co/gStVzvxGQv https://t.co/ckEpMiwXwO',neg,0.1496,0.8504
722515260507308032,2016-04-19 20:00:36,3,"b""Complaining is an insidious thing that we think doesn't really hurt us, but the cost is often hidden. https://t.co/QPACxOPTwb""",neg,0.0073,0.9927
722487493426339841,2016-04-19 18:10:16,0,"b'MT @OpnCircleWealth: 21st Century Retirement, things have changed &amp; you have too. https://t.co/YRF8wV3YrX https://t.co/7tegFwaiYP'",neg,0.0341,0.9659
722485064479719424,2016-04-19 18:00:37,6,b'Have you ever paid attention to how much you complain? What happens when you make an effort to stop complaining? https://t.co/QPACxOPTwb',neg,0.0005,0.9995
722443434791956481,2016-04-19 15:15:11,0,b'RT @TimMaurer: Rule one in #investing: Know thyself. https://t.co/CAkYy0pAXB\xe2\x80\xa6n-7-simple-steps/ #SimpleMoney',pos,0.5845,0.4155
722439861433708544,2016-04-19 15:00:59,7,b'The No Complaining Project https://t.co/QPACxOPTwb https://t.co/auHwyD7BCU',neg,0.3804,0.6196
722302483884818432,2016-04-19 05:55:06,0,b'MT @TheBAMALLIANCE: @ManishaThakor on getting clear about the quality of financial air surrounding #bond holdings. https://t.co/VTmRDJaBf3',pos,0.9782,0.0218
722209395485110272,2016-04-18 23:45:12,12,b'I want to assure you that just because real advisers are hard to find doesn\xe2\x80\x99t mean they don\xe2\x80\x99t exist. https://t.co/YV1MHGlUw5',neg,0.0606,0.9394
722191762916253700,2016-04-18 22:35:08,6,"b""MT @Vanguard_FA: #IMCA16 attendees, didn't you love @behaviorgap? Hear more in VG interview: https://t.co/2oxBGQHk0N https://t.co/XHNTvggYhl""",pos,0.5326,0.4674
722167934211211264,2016-04-18 21:00:27,7,"b'One of the hardest (and most common) questions I\xe2\x80\x99m asked is, \xe2\x80\x9cHow do I find an adviser who I can trust?\xe2\x80\x9d https://t.co/3R9kvYv0XC'",neg,0.0508,0.9492
722157792354779137,2016-04-18 20:20:09,0,b'RT @KentSchmidgall: A fair look at payout #annuities. @larryswedroe https://t.co/3OUzXuseyU',neg,0.3836,0.6164
722152808682758144,2016-04-18 20:00:21,0,"b'RT @ManishaThakor: ""Why Women &amp; Millennials Are Likely To Drive Growth In Responsible Investing"" via @CliffGMJ https://t.co/zj5gSnvSuT'",neg,0.0192,0.9808
722148490701336578,2016-04-18 19:43:11,1,b'Honesty Tops Any Checklist When Looking for an Adviser https://t.co/FqnhzHDowi https://t.co/SAEUelinOA',pos,0.5298,0.4702
721007188265811968,2016-04-15 16:08:04,5,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/2XBsCrZV7w'",neg,0.3836,0.6164
720812159647813632,2016-04-15 03:13:05,2,b'Entrepreneurship: Insert Your Opinion In the World https://t.co/cInldRFQFt',neg,0.1506,0.8494
720761109414866944,2016-04-14 23:50:14,0,b'RT @KentSchmidgall: Will the new #DOL rule create a false sense of security for investors? @DanSolin https://t.co/Ue5uc9O1yk',neg,0.1494,0.8506
720718655332478976,2016-04-14 21:01:32,0,b'We get competitive &amp; we sometimes ignore the signs that we need to take a break before we go hard again. https://t.co/SZ6TyqvOHv',neg,0.0002,0.9998
720717047328587776,2016-04-14 20:55:09,1,b'MT @larryswedroe: Just not worth it: Unconstrained bond funds have shown a high correlation with other risky assets. https://t.co/xDrkCNXXxb',pos,0.7723,0.2277
720688439348355073,2016-04-14 19:01:28,1,"b'Going medium-hard all the time may seem productive, until you plateau. What if you go hard, then rest? https://t.co/SZ6TyqvOHv'",neg,0.0055,0.9945
720680298074279936,2016-04-14 18:29:07,0,"b'@WeAreSynMedia Best way to connect, email my team at hello@behaviorgap.com. Thanks!'",pos,0.9847,0.0153
720678211479302144,2016-04-14 18:20:49,3,b'Happy pub day to @MattHallHIG\xe2\x80\xa6check out his book for sure! https://t.co/lBoIBwGJHf https://t.co/8qmV74kLB8',neg,0.3508,0.6492
720659072266186753,2016-04-14 17:04:46,4,b'How I stay so motivated &amp; excited about my many project: https://t.co/2R8C4gY2sf https://t.co/DgbWL1zzZH',pos,0.645,0.355
720643170263031809,2016-04-14 16:01:35,3,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/9AmoCHL34Z'",neg,0.3836,0.6164
720401285845880837,2016-04-14 00:00:25,0,"b'RT @MStarInvSvcs: Via @behaviorgap, When Feelings of Comfort Trump Spreadsheet Math ^JO https://t.co/Kryca9daOa'",pos,0.8947,0.1053
720396755070615552,2016-04-13 23:42:25,4,b'Choose To Be Uncomfortable https://t.co/gStVzvg5rV https://t.co/sTRWvHnGyw',neg,0.1496,0.8504
720388612647428096,2016-04-13 23:10:04,3,b'Truth: A Rare Thing in Personal Finance https://t.co/DprDrWIEx0',pos,0.6351,0.3649
720372312592162817,2016-04-13 22:05:17,4,b'RT @Vanguard_FA: Words of wisdom from @behaviorgap Carl Richards. More here: https://t.co/v9VFj6UEv1 https://t.co/wqlK7zrOiF',neg,0.2301,0.7699
