b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg
723299586954137600,2016-04-21 23:57:14,5,b'Earningspalooza: 6 trades to make right now https://t.co/uDv9q9PdsE',neg,0.276,0.724
723295113439535105,2016-04-21 23:39:27,25,b'Saudi prince: Let there be jobs https://t.co/RcDgAxLYnd',neg,0.1013,0.8987
723294280685641728,2016-04-21 23:36:09,9,"b'Cramer: Alphabet, Microsoft could climb back up https://t.co/osTcZfLHdy'",neg,0.0482,0.9518
723293546502066177,2016-04-21 23:33:14,8,b'SecureWorks prices IPO below estimates https://t.co/z9sy0y3KcB',pos,0.6602,0.3398
723292905851523072,2016-04-21 23:30:41,29,b'Oil at $85 by the end of the year: Rothman https://t.co/aBbAjHJrEE',neg,0.4988,0.5012
723292796283674625,2016-04-21 23:30:15,1,b'Why JetBlue is growing potatoes at JFK airport https://t.co/3fmeL5m323 #DreamItGreenIt',pos,0.9222,0.0778
723285272767635457,2016-04-21 23:00:21,6,b'Op-Ed: Hillary Clinton has a big problem https://t.co/V3mnRwOpxE',neg,0.3868,0.6132
723280262147223552,2016-04-21 22:40:27,34,b'RT @CNBCnow: BREAKING: Daimler says it is conducting an internal investigation regarding US emissions certifications upon the request of th\xe2\x80\xa6',neg,0.1548,0.8452
723277690049073152,2016-04-21 22:30:13,28,"b'Her Majesty seeks Royal tweeter, salary $70K https://t.co/MJkFyCMD4K  #HappyBirthdayYourMajesty'",pos,0.5374,0.4626
723271281043509249,2016-04-21 22:04:45,8,b'ESPN fires analyst over offensive social media post https://t.co/TqVIAmkfEG',neg,0.366,0.634
723271251452669952,2016-04-21 22:04:38,21,"b""RT @CNBCnow: BREAKING: Dell's SecureWorks prices IPO at $14/share, below expectations &amp; sells 1M fewer shares than expected - DJ  https://t\xe2\x80\xa6""",pos,0.6522,0.3478
723266345215905792,2016-04-21 21:45:08,32,"b""Prince's death is not the end of his music career https://t.co/oKkQxEcjct""",neg,0.4072,0.5928
723265572557959175,2016-04-21 21:42:04,4,b'Sarepta stock nuked by FDA outlook https://t.co/QWXaEvqDgq',pos,0.5792,0.4208
723264813921656833,2016-04-21 21:39:03,16,"b'Sears Holdings to close 78 Sears, Kmart stores https://t.co/gaULStxiyN'",neg,0.4155,0.5845
723264100998979584,2016-04-21 21:36:13,15,b'Hospital pays $2.2M after ABC filmed patients https://t.co/FbWl4JrHcm',pos,0.7472,0.2528
723263327779078146,2016-04-21 21:33:09,14,"b'ABC exits Fusion, Univision takes full control https://t.co/tqxvYx4GzO'",pos,0.6966,0.3034
723251010337169408,2016-04-21 20:44:12,11,b'RT @CNBCnow: Boston Beer shares slide more than 10% after poor earnings and weak guidance \xc2\xbb https://t.co/lJpiB7Zeid',neg,0.017,0.983
723246803093737472,2016-04-21 20:27:29,19,b'RT @CNBCnow: Shares of $AMD soar 22% in post-market trading on strong earnings https://t.co/no0TBmgxMz',pos,0.9178,0.0822
723245308692586496,2016-04-21 20:21:33,8,b'EARNINGS: Norfolk Southern Q1 EPS $1.29 vs $0.97 Est.; Q1 Revs. $2.42B vs $2.40B Est. \xe2\x80\xa2 $NSC https://t.co/Cpb6L1KTNF https://t.co/ztLLXWfR5Z',pos,0.7773,0.2227
723244309986811905,2016-04-21 20:17:35,3,b'EARNINGS: Schlumberger Q1 EPS $0.40 Adj. vs $0.39 Est.; Q1 Revs $6.52B vs $6.51B Est. \xe2\x80\xa2 $SLB https://t.co/Fo1q5jzIEc https://t.co/Hwyv7yUU4U',pos,0.5374,0.4626
723243464931041280,2016-04-21 20:14:13,28,"b""RT @CNBCnow: BREAKING: Disney's ABC says it reached agreement to end joint ownership of Fusion with Univison becoming the sole owner.""",pos,0.8958,0.1042
723242974717599745,2016-04-21 20:12:17,11,b'EARNINGS ALERT: Visa Q2 EPS $0.68 Adj. vs. $0.67 Est.; Q2 Revs. $3.63B vs. $3.60B Est. \xe2\x80\xa2 $V  https://t.co/ng8Akbkt2C https://t.co/cl1SX3ICGx',neg,0.2792,0.7208
723242032446230528,2016-04-21 20:08:32,11,b'EARNINGS: Microsoft Q3 EPS $0.62 Adj. vs. $0.64 Est.; Q3 Revs. $22.1B vs. $22.09B Est. \xe2\x80\xa2 https://t.co/eQjLwINcqn https://t.co/HxrHdyx8rV',neg,0.1885,0.8115
723241643403567106,2016-04-21 20:06:59,12,b'EARNINGS: Starbucks Q2 EPS $0.39 vs. $0.39 Est.; Q2 Revs. $4.99B vs. $5.03B Est. \xe2\x80\xa2 $SBUX https://t.co/9zvAR5qkN9 https://t.co/e8LLlyKg0s',pos,0.5374,0.4626
723240948172464128,2016-04-21 20:04:13,26,b'EARNINGS: Alphabet Q1 EPS $7.50 Adj. vs $7.97 Est.; Q1 Revs. $20.26B vs $20.37B Est. \xe2\x80\xa2 https://t.co/tPTwMsu1bl https://t.co/ur6a4t2Lp9',neg,0.2792,0.7208
723240365248122880,2016-04-21 20:01:54,12,"b'Stocks close lower, with Dow below 18K; telecoms weigh \xc2\xbb https://t.co/WRQngRnksL https://t.co/Bm2P2RA60C'",neg,0.1102,0.8898
723236640936833024,2016-04-21 19:47:06,21,b'Musk proposes self-driving buses to fix traffic https://t.co/SjhWX9aFlL https://t.co/faQrb5XCzU',neg,0.4988,0.5012
723234616715386881,2016-04-21 19:39:04,7,b'United CEO: New board will do great https://t.co/ULhGfS4Az9',pos,0.997,0.003
723234221347753986,2016-04-21 19:37:30,103,"b'Her Majesty seeks Royal tweeter, salary $70K https://t.co/MJkFyCMD4K #HappyBirthdayYourMajesty https://t.co/cEWRU6AMBg'",pos,0.5374,0.4626
