b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg
723282865199390720,2016-04-21 22:50:47,3,"b""Join our friends @ProductHunt and @NASDAQ for a live Q&amp;A! It's open for everyone here: https://t.co/pa6v3Yjv2p\n\n$NDAQ""",pos,0.9165,0.0835
723256833381675008,2016-04-21 21:07:21,13,"b'If you had to buy one of these dips, which one do you pick?\n\n$GOOGL, $V, $SBUX, $MSFT chart: https://t.co/CApd7oDOvb'",neg,0.0466,0.9534
723254693967892480,2016-04-21 20:58:51,0,"b""So if you saw our last few tweets you'll know what companies are dropping on earnings. Meanwhile, Sketchers: https://t.co/KPPhGm2Xci\n\n$SKX""",neg,0.0875,0.9125
723249133251862528,2016-04-21 20:36:45,14,"b""Google's earnings call is LIVE. Anyone can listen right here. Just press play: https://t.co/28bCaKCtXY\n\n$GOOG $GOOGL""",pos,0.8334,0.1666
723247411020345344,2016-04-21 20:29:54,15,b'When Google misses.\n\nThis @RampCapitalLLC creation getting shared everywhere: https://t.co/gbWtZJDmD6 \n\n$GOOG $GOOGL https://t.co/dZfjYsNsNc',neg,0.0393,0.9607
723243917899104256,2016-04-21 20:16:01,58,b'That just happened.\n\n3 critical earnings reports. 3 substantial misses: https://t.co/SRp0unzymN\n\n$GOOG $SBUX $MSFT https://t.co/DppH4rWdjX',neg,0.4016,0.5984
723242814373502977,2016-04-21 20:11:38,19,b'MICROSOFT MISSES. It just cratered 4% after earnings: https://t.co/dTXClCMgCD\n\n$MSFT https://t.co/H2QfFEa70C',neg,0.3368,0.6632
723242155150610433,2016-04-21 20:09:01,6,b'VISA BEATS\n\nOn revenue: https://t.co/jptuy1uei0\nOn EPS: https://t.co/qGRyvYBmVQ\n\n$V',neg,0.2792,0.7208
723241822521311232,2016-04-21 20:07:42,23,b'Starbucks MISSES on revenue. It just dropped 5%: https://t.co/zulmmPsJQY\n\n$SBUX https://t.co/JESljVUVIO',neg,0.3405,0.6595
723241463535001600,2016-04-21 20:06:16,25,b'GOOGLE misses on earnings. Down 6% in SECONDS: https://t.co/0BvtgYnPmp\n\n$GOOG $GOOGL https://t.co/JQgrAXX3L5',neg,0.1816,0.8184
