b'id',b'created_at',b'retweet_count',b'text'
723300459788652545,2016-04-22 00:00:42,0,b'REIT\xe2\x80\x99s Strategy Could Help It Through Bad Times And Good https://t.co/UGPft2O3dH https://t.co/6UXNK3kBWo'
723277919301193728,2016-04-21 22:31:08,2,b'Emerging Markets Continue To Make Investors Happy As A Carnival https://t.co/mN85Solg12 https://t.co/HUSJJNGCzb'
723277528702439424,2016-04-21 22:29:35,3,"b'Stock Market Today: Stocks Fall; GOOGL, MSFT, SBUX, V Down Late On Earnings https://t.co/4YYhhxLkH1'"
723268226289819648,2016-04-21 21:52:37,2,b'https://t.co/Gn6ylp3RCt Shutters Flash-Sale Fashion Site MyHabit https://t.co/CkduUs3DbT https://t.co/QKtOboE3pR'
723257063946604544,2016-04-21 21:08:16,5,"b'Stocks Fall; Alphabet, Microsoft, Starbucks Get Hit https://t.co/DChS31LWSP https://t.co/4n8HPjtYJS'"
723252128249057281,2016-04-21 20:48:39,3,"b'Alphabet Misses On Q1 Revenue, Earnings As \xe2\x80\x98Other Bets\xe2\x80\x99 Loss Widens https://t.co/kUeqPJ6RdT https://t.co/ed2OwENmGi'"
723247220695277570,2016-04-21 20:29:09,3,b'Stocks Give Up Gains As Earnings Drive Action https://t.co/rqYeLWyPf9 https://t.co/ZFNs8sKpml'
723230244673445889,2016-04-21 19:21:41,3,b'Apple Supplier Cirrus And Mellanox Break Key Support https://t.co/Pf3AOk3xTL'
723229595214843904,2016-04-21 19:19:07,1,b'Stocks Lower In Afternoon; United Loses Altitude https://t.co/BWxIMaNE5M https://t.co/PuqgySW90v'
723228622962614272,2016-04-21 19:15:15,3,"b'Viacom, Dish Stocks Gain On New Contract, Sling TV Part Of Deal https://t.co/NWUrEt8jjc https://t.co/1mHd5GcBIT'"
723226528075636740,2016-04-21 19:06:55,3,"b""See how PayPal's conversion rate for shoppers is nearly double that for Amazon, Visa and others. https://t.co/iXw6SxTi42"""
723220399731838977,2016-04-21 18:42:34,3,b'Amazon Tap Casts Apple Suppliers; Texas Instruments Leads Echo Dot https://t.co/zTku94aqkM https://t.co/x5S5edCtkX'
723212752995516417,2016-04-21 18:12:11,3,"b'Apple, Alphabet Cut Lobbying Spend As Facebook Pumps It Up: Report https://t.co/DkdrtUP4bb https://t.co/GaCUOciiEt'"
723206329834168320,2016-04-21 17:46:40,0,"b'Utility Stocks Bombarded By Sellers; Indexes Down, But A Few Stocks Break Out https://t.co/W8F0pxgOCT https://t.co/xKeOKra2bf'"
723204694701576193,2016-04-21 17:40:10,2,"b'Qualcomm Loses Apple Business To Intel, Confronts Smartphone Drop https://t.co/wx7KkB0ZY9 https://t.co/pMnMB2JhSS'"
723196988955582465,2016-04-21 17:09:33,2,"b'Tesla Tallies 400,000 Model 3 Car Orders Ahead Of Earnings Report https://t.co/DPCcROMNpX https://t.co/AlnloggDJ6'"
723195052525125632,2016-04-21 17:01:51,3,"b'PayPal\xe2\x80\x99s \xe2\x80\x98One Touch\xe2\x80\x99 Crushes Amazon, Google, Visa Conversion Rates https://t.co/pT4YtKBtEv https://t.co/fK4UKPR6BT'"
723192710157324289,2016-04-21 16:52:33,4,"b'Why Is PayPal Crushing It Compared To Apple, Google, Amazon, Visa? https://t.co/5W3pb2PNdr'"
723189092071038976,2016-04-21 16:38:10,0,"b'Mellanox Tanks On Q2 Guide; But \xe2\x80\x98Well Ahead\xe2\x80\x99 Of Intel, Broadcom https://t.co/mva6h3su7g https://t.co/Y4hM7IDllJ'"
723177499832655872,2016-04-21 15:52:06,0,"b'Earnings Galore For Stock Market: The Good, Bad And Ugly https://t.co/sReo5J5h0h https://t.co/fNn9CTWl9J'"
723168977099186177,2016-04-21 15:18:14,1,b'4 Heavyweights To Watch On Big Earnings Day; Utilities Face Key Test https://t.co/4qqKrbG61r https://t.co/lRVFwExIL7'
723165226254749696,2016-04-21 15:03:20,1,"b'Biogen Q1 Earnings Beat Estimates, But Sales Miss; Stock Climbs https://t.co/kjeZ2UqvdP https://t.co/fNOZxaxx2x'"
723158406194831361,2016-04-21 14:36:14,1,b'Stocks Back Into Modest Losses; Mellanox Tech Takes A Hit https://t.co/dYPRWcMWLk https://t.co/RzmfgfYQ5V'
723158170412146688,2016-04-21 14:35:18,3,"b'Alphabet, Microsoft, Starbucks, Visa: 4 top stocks w/earnings Thu. All are at/near buy areas. https://t.co/CAOkfw8TVI $GOOGL $MSFT $V $SBUX'"
723156696273571840,2016-04-21 14:29:26,0,b'Draghi Says ECB Ready To Act Again If Warranted To Revive Prices https://t.co/LZyYgskhaW https://t.co/1t3mLimPcb'
723156686161076224,2016-04-21 14:29:24,2,b'SunEdison Files For Bankruptcy To \xe2\x80\x98Right-Size\xe2\x80\x99 Its Balance Sheet https://t.co/GzNevFGzBP https://t.co/wMrxW1Ql0F'
723140379323715584,2016-04-21 13:24:36,0,b'F5 Networks Fiscal Q2 Revenue Light Amid Weak Corporate IT Spending https://t.co/UCGgp40E84 https://t.co/0D2VZbC7w2'
723137249106219008,2016-04-21 13:12:10,0,b'Stock Futures Hold Thin Gains; Citrix Systems Surges On Q1 Results https://t.co/WGEUHlujmP https://t.co/2BZsTxOynI'
723132222220328961,2016-04-21 12:52:11,1,b'The Great R&amp;D Debate: How Much Should Drugmakers Spend? https://t.co/FLhhu4LmVP https://t.co/CD4UAIL6AY'
723132218709680133,2016-04-21 12:52:10,3,b'Jobless Claims Fall To Lowest Since 1973 https://t.co/ynVmqdwJSA'
723127540131328001,2016-04-21 12:33:35,5,b'Thor Industries Sees Growth In RV Ownership https://t.co/sIxFmTfG3e https://t.co/O4K7BTP1Ui'
723123900238827520,2016-04-21 12:19:07,4,"b'Elon Musk Says Tesla Has Nearly 400,000 Model 3 Orders https://t.co/z020n4NxzE https://t.co/t1GId7ZzzA'"
723104535225360386,2016-04-21 11:02:10,2,b'Newell Brands Near Buy Point; Dividend On Upswing https://t.co/rbam5Nt05g https://t.co/4e84Xx2ob1'
723093214098386944,2016-04-21 10:17:11,0,b'Quotes Of The Day: Musician Charlie Parker On Authenticity https://t.co/LQXZ0Qz6WF https://t.co/FPr3qDjPFC'
723078398977822722,2016-04-21 09:18:19,4,b'Yogi Berra Caught Baseball Fever And Became One Of The Greatest https://t.co/RkKyhAya3K https://t.co/hdZSPP0UTm'
722998697848504320,2016-04-21 04:01:36,1,b'Investor\xe2\x80\x99s Acrophobia: Don\xe2\x80\x99t Be Afraid To Average Up In Good Stock https://t.co/2ropOgfHFx https://t.co/m7sbcuqOtR'
