b'id',b'created_at',b'retweet_count',b'text'
723284688983494656,2016-04-21 22:58:02,0,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/9Wwa8r2b58'"
723268896384536577,2016-04-21 21:55:17,0,"b'""You\'re a fiduci-what?"" How to have a great conversation with clients about how you put them first. https://t.co/vJhGoB058u'"
723268592775639040,2016-04-21 21:54:04,2,b'Honesty Should Top Your Advisor Checklist https://t.co/HhzUPCKteA https://t.co/jm3gAtMQL2'
723257544811110401,2016-04-21 21:10:10,0,"b'MT @TheBAMALLIANCE: @DanSolin on how to be a ""high-information"" investor. @HuffingtonPost https://t.co/V8ZM3KnegK'"
723239990143160321,2016-04-21 20:00:25,1,"b'Advisors: When I say, ""Take a cold shower,"" I\'m talking to you. https://t.co/VzqtEmK1Uv'"
723209783608774656,2016-04-21 18:00:23,3,b'Financial advisors need to take care of themselves. One way might be cold showers. I speak from personal experience. https://t.co/VzqtEmK1Uv'
723205963717742592,2016-04-21 17:45:12,9,"b'Salespeople run around looking for people to sell to. Advisors ask a question: ""Help me understand your needs."" https://t.co/Dk1RpvISjR'"
723182068780421120,2016-04-21 16:10:15,10,"b""Put your clients at the center of the relationship &amp; you can't go wrong. https://t.co/xMMlKc4cDk @newsfromIN https://t.co/LW2HlAQbQn"""
723164588934574081,2016-04-21 15:00:48,0,b'Below the Waterline - Taking a Cold Shower: A Release Valve for Advisors https://t.co/VzqtEmK1Uv https://t.co/tURZ0Y56Rk'
722939935301509120,2016-04-21 00:08:06,5,b'The No Complaining Project https://t.co/QPACxOPTwb https://t.co/VKJQjeOxl1'
722877752160952320,2016-04-20 20:01:01,7,"b'One of the hardest (and most common) questions I\xe2\x80\x99m asked is, \xe2\x80\x9cHow do I find an adviser who I can trust?\xe2\x80\x9d https://t.co/HhzUPCKteA'"
722847563959910400,2016-04-20 18:01:03,4,b'I want to assure you that just because real advisors are hard to find doesn\xe2\x80\x99t mean they don\xe2\x80\x99t exist. https://t.co/HhzUPCKteA'
722837527615418368,2016-04-20 17:21:10,3,b'How I stay so motivated &amp; excited about my many project: https://t.co/2R8C4gY2sf https://t.co/RAy7vjaUNS'
722802327149744128,2016-04-20 15:01:18,1,b'Honesty Should Top Your Advisor Checklist https://t.co/HhzUPCKteA https://t.co/OxHJ0DYGqE'
722531507965968390,2016-04-19 21:05:10,0,b'MT @larryswedroe: Can analysts pick #stocks for the long run? Taking a closer look at post-revision drift anomaly. https://t.co/9ArNFpMSKA'
722516915642626048,2016-04-19 20:07:11,4,b'Choose To Be Uncomfortable https://t.co/gStVzvxGQv https://t.co/ckEpMiwXwO'
722515260507308032,2016-04-19 20:00:36,3,"b""Complaining is an insidious thing that we think doesn't really hurt us, but the cost is often hidden. https://t.co/QPACxOPTwb"""
722487493426339841,2016-04-19 18:10:16,0,"b'MT @OpnCircleWealth: 21st Century Retirement, things have changed &amp; you have too. https://t.co/YRF8wV3YrX https://t.co/7tegFwaiYP'"
722485064479719424,2016-04-19 18:00:37,6,b'Have you ever paid attention to how much you complain? What happens when you make an effort to stop complaining? https://t.co/QPACxOPTwb'
722443434791956481,2016-04-19 15:15:11,0,b'RT @TimMaurer: Rule one in #investing: Know thyself. https://t.co/CAkYy0pAXB\xe2\x80\xa6n-7-simple-steps/ #SimpleMoney'
722439861433708544,2016-04-19 15:00:59,7,b'The No Complaining Project https://t.co/QPACxOPTwb https://t.co/auHwyD7BCU'
722302483884818432,2016-04-19 05:55:06,0,b'MT @TheBAMALLIANCE: @ManishaThakor on getting clear about the quality of financial air surrounding #bond holdings. https://t.co/VTmRDJaBf3'
722209395485110272,2016-04-18 23:45:12,12,b'I want to assure you that just because real advisers are hard to find doesn\xe2\x80\x99t mean they don\xe2\x80\x99t exist. https://t.co/YV1MHGlUw5'
722191762916253700,2016-04-18 22:35:08,6,"b""MT @Vanguard_FA: #IMCA16 attendees, didn't you love @behaviorgap? Hear more in VG interview: https://t.co/2oxBGQHk0N https://t.co/XHNTvggYhl"""
722167934211211264,2016-04-18 21:00:27,7,"b'One of the hardest (and most common) questions I\xe2\x80\x99m asked is, \xe2\x80\x9cHow do I find an adviser who I can trust?\xe2\x80\x9d https://t.co/3R9kvYv0XC'"
722157792354779137,2016-04-18 20:20:09,0,b'RT @KentSchmidgall: A fair look at payout #annuities. @larryswedroe https://t.co/3OUzXuseyU'
722152808682758144,2016-04-18 20:00:21,0,"b'RT @ManishaThakor: ""Why Women &amp; Millennials Are Likely To Drive Growth In Responsible Investing"" via @CliffGMJ https://t.co/zj5gSnvSuT'"
722148490701336578,2016-04-18 19:43:11,1,b'Honesty Tops Any Checklist When Looking for an Adviser https://t.co/FqnhzHDowi https://t.co/SAEUelinOA'
721007188265811968,2016-04-15 16:08:04,5,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/2XBsCrZV7w'"
720812159647813632,2016-04-15 03:13:05,2,b'Entrepreneurship: Insert Your Opinion In the World https://t.co/cInldRFQFt'
720761109414866944,2016-04-14 23:50:14,0,b'RT @KentSchmidgall: Will the new #DOL rule create a false sense of security for investors? @DanSolin https://t.co/Ue5uc9O1yk'
720718655332478976,2016-04-14 21:01:32,0,b'We get competitive &amp; we sometimes ignore the signs that we need to take a break before we go hard again. https://t.co/SZ6TyqvOHv'
720717047328587776,2016-04-14 20:55:09,1,b'MT @larryswedroe: Just not worth it: Unconstrained bond funds have shown a high correlation with other risky assets. https://t.co/xDrkCNXXxb'
720688439348355073,2016-04-14 19:01:28,1,"b'Going medium-hard all the time may seem productive, until you plateau. What if you go hard, then rest? https://t.co/SZ6TyqvOHv'"
720680298074279936,2016-04-14 18:29:07,0,"b'@WeAreSynMedia Best way to connect, email my team at hello@behaviorgap.com. Thanks!'"
720678211479302144,2016-04-14 18:20:49,3,b'Happy pub day to @MattHallHIG\xe2\x80\xa6check out his book for sure! https://t.co/lBoIBwGJHf https://t.co/8qmV74kLB8'
720659072266186753,2016-04-14 17:04:46,4,b'How I stay so motivated &amp; excited about my many project: https://t.co/2R8C4gY2sf https://t.co/DgbWL1zzZH'
720643170263031809,2016-04-14 16:01:35,3,"b'Go Hard, Then Rest: Good advice in sports &amp; life https://t.co/SZ6TyqvOHv https://t.co/9AmoCHL34Z'"
720401285845880837,2016-04-14 00:00:25,0,"b'RT @MStarInvSvcs: Via @behaviorgap, When Feelings of Comfort Trump Spreadsheet Math ^JO https://t.co/Kryca9daOa'"
720396755070615552,2016-04-13 23:42:25,4,b'Choose To Be Uncomfortable https://t.co/gStVzvg5rV https://t.co/sTRWvHnGyw'
720388612647428096,2016-04-13 23:10:04,3,b'Truth: A Rare Thing in Personal Finance https://t.co/DprDrWIEx0'
720372312592162817,2016-04-13 22:05:17,4,b'RT @Vanguard_FA: Words of wisdom from @behaviorgap Carl Richards. More here: https://t.co/v9VFj6UEv1 https://t.co/wqlK7zrOiF'
720355951023386624,2016-04-13 21:00:16,1,b'It\xe2\x80\x99s easy to wonder how doing stuff that makes you uncomfortable &amp; might not even work is a source of motivation. https://t.co/2R8C4gY2sf'
720313169479143424,2016-04-13 18:10:17,0,"b'MT @larryswedroe: Payout #annuities, #retirement income planning and dealing with the problems of longevity #risk. https://t.co/hgeKYDOIs8'"
720295719240916992,2016-04-13 17:00:56,4,b'The very act of taking on something new helps you become better at your work over all. https://t.co/2R8C4gY2sf'
720265567047815168,2016-04-13 15:01:07,2,b'How I stay so motivated &amp; excited about my many project: https://t.co/2R8C4hfDjN https://t.co/kAdKR4YV1W'
720246612497448960,2016-04-13 13:45:48,0,"b""MT @TimMaurer: Count on @DanSolin to give it to you straight: https://t.co/cFLK11h8fN It's Still Open Season on Retirement Plan Participants"""
720060465905319940,2016-04-13 01:26:07,0,b'Look At the Root of Your Money Problems https://t.co/IHfpRPRRaZ'
719993552810471430,2016-04-12 21:00:14,15,b'What do we learn about ourselves when we handle difficult or uncomfortable situations? https://t.co/gStVzvxGQv https://t.co/vHaLk4gRwa'
719918123588186112,2016-04-12 16:00:30,0,"b'We hate hearing the cliches, but sometimes we need those uncomfortable, even difficult, moments to grow. https://t.co/gStVzvxGQv'"
