b'id',b'created_at',b'retweet_count',b'text'
723299586954137600,2016-04-21 23:57:14,5,b'Earningspalooza: 6 trades to make right now https://t.co/uDv9q9PdsE'
723295113439535105,2016-04-21 23:39:27,25,b'Saudi prince: Let there be jobs https://t.co/RcDgAxLYnd'
723294280685641728,2016-04-21 23:36:09,9,"b'Cramer: Alphabet, Microsoft could climb back up https://t.co/osTcZfLHdy'"
723293546502066177,2016-04-21 23:33:14,8,b'SecureWorks prices IPO below estimates https://t.co/z9sy0y3KcB'
723292905851523072,2016-04-21 23:30:41,29,b'Oil at $85 by the end of the year: Rothman https://t.co/aBbAjHJrEE'
723292796283674625,2016-04-21 23:30:15,1,b'Why JetBlue is growing potatoes at JFK airport https://t.co/3fmeL5m323 #DreamItGreenIt'
723285272767635457,2016-04-21 23:00:21,6,b'Op-Ed: Hillary Clinton has a big problem https://t.co/V3mnRwOpxE'
723280262147223552,2016-04-21 22:40:27,34,b'RT @CNBCnow: BREAKING: Daimler says it is conducting an internal investigation regarding US emissions certifications upon the request of th\xe2\x80\xa6'
723277690049073152,2016-04-21 22:30:13,28,"b'Her Majesty seeks Royal tweeter, salary $70K https://t.co/MJkFyCMD4K  #HappyBirthdayYourMajesty'"
723271281043509249,2016-04-21 22:04:45,8,b'ESPN fires analyst over offensive social media post https://t.co/TqVIAmkfEG'
723271251452669952,2016-04-21 22:04:38,21,"b""RT @CNBCnow: BREAKING: Dell's SecureWorks prices IPO at $14/share, below expectations &amp; sells 1M fewer shares than expected - DJ  https://t\xe2\x80\xa6"""
723266345215905792,2016-04-21 21:45:08,32,"b""Prince's death is not the end of his music career https://t.co/oKkQxEcjct"""
723265572557959175,2016-04-21 21:42:04,4,b'Sarepta stock nuked by FDA outlook https://t.co/QWXaEvqDgq'
723264813921656833,2016-04-21 21:39:03,16,"b'Sears Holdings to close 78 Sears, Kmart stores https://t.co/gaULStxiyN'"
723264100998979584,2016-04-21 21:36:13,15,b'Hospital pays $2.2M after ABC filmed patients https://t.co/FbWl4JrHcm'
723263327779078146,2016-04-21 21:33:09,14,"b'ABC exits Fusion, Univision takes full control https://t.co/tqxvYx4GzO'"
723251010337169408,2016-04-21 20:44:12,11,b'RT @CNBCnow: Boston Beer shares slide more than 10% after poor earnings and weak guidance \xc2\xbb https://t.co/lJpiB7Zeid'
723246803093737472,2016-04-21 20:27:29,19,b'RT @CNBCnow: Shares of $AMD soar 22% in post-market trading on strong earnings https://t.co/no0TBmgxMz'
723245308692586496,2016-04-21 20:21:33,8,b'EARNINGS: Norfolk Southern Q1 EPS $1.29 vs $0.97 Est.; Q1 Revs. $2.42B vs $2.40B Est. \xe2\x80\xa2 $NSC https://t.co/Cpb6L1KTNF https://t.co/ztLLXWfR5Z'
723244309986811905,2016-04-21 20:17:35,3,b'EARNINGS: Schlumberger Q1 EPS $0.40 Adj. vs $0.39 Est.; Q1 Revs $6.52B vs $6.51B Est. \xe2\x80\xa2 $SLB https://t.co/Fo1q5jzIEc https://t.co/Hwyv7yUU4U'
723243464931041280,2016-04-21 20:14:13,28,"b""RT @CNBCnow: BREAKING: Disney's ABC says it reached agreement to end joint ownership of Fusion with Univison becoming the sole owner."""
723242974717599745,2016-04-21 20:12:17,11,b'EARNINGS ALERT: Visa Q2 EPS $0.68 Adj. vs. $0.67 Est.; Q2 Revs. $3.63B vs. $3.60B Est. \xe2\x80\xa2 $V  https://t.co/ng8Akbkt2C https://t.co/cl1SX3ICGx'
723242032446230528,2016-04-21 20:08:32,11,b'EARNINGS: Microsoft Q3 EPS $0.62 Adj. vs. $0.64 Est.; Q3 Revs. $22.1B vs. $22.09B Est. \xe2\x80\xa2 https://t.co/eQjLwINcqn https://t.co/HxrHdyx8rV'
723241643403567106,2016-04-21 20:06:59,12,b'EARNINGS: Starbucks Q2 EPS $0.39 vs. $0.39 Est.; Q2 Revs. $4.99B vs. $5.03B Est. \xe2\x80\xa2 $SBUX https://t.co/9zvAR5qkN9 https://t.co/e8LLlyKg0s'
723240948172464128,2016-04-21 20:04:13,26,b'EARNINGS: Alphabet Q1 EPS $7.50 Adj. vs $7.97 Est.; Q1 Revs. $20.26B vs $20.37B Est. \xe2\x80\xa2 https://t.co/tPTwMsu1bl https://t.co/ur6a4t2Lp9'
723240365248122880,2016-04-21 20:01:54,12,"b'Stocks close lower, with Dow below 18K; telecoms weigh \xc2\xbb https://t.co/WRQngRnksL https://t.co/Bm2P2RA60C'"
723236640936833024,2016-04-21 19:47:06,21,b'Musk proposes self-driving buses to fix traffic https://t.co/SjhWX9aFlL https://t.co/faQrb5XCzU'
723234616715386881,2016-04-21 19:39:04,7,b'United CEO: New board will do great https://t.co/ULhGfS4Az9'
723234221347753986,2016-04-21 19:37:30,103,"b'Her Majesty seeks Royal tweeter, salary $70K https://t.co/MJkFyCMD4K #HappyBirthdayYourMajesty https://t.co/cEWRU6AMBg'"
723215007643799556,2016-04-21 18:21:09,53,"b'""The Very Best of Prince"" topping Apple\'s iTunes album chart right now, with ""Purple Rain"" in the third position. https://t.co/WEyhYbbJ6R'"
723203375412682752,2016-04-21 17:34:55,115,"b""Statement released from Prince's publicist: https://t.co/WEyhYbbJ6R https://t.co/Z7Im8jKuvH"""
723201160895709185,2016-04-21 17:26:07,116,"b'BREAKING: Legendary musician Prince has died at 57, @NBCNews confirms https://t.co/WEyhYbbJ6R https://t.co/WMvcFiEVWb'"
723197464677900288,2016-04-21 17:11:26,613,b'BREAKING: Legendary musician Prince dies at 57 - AP https://t.co/WEyhYbbJ6R https://t.co/SGDQ2F4SpW'
723196119610712064,2016-04-21 17:06:05,120,b'DEVELOPING: Police investigating death at estate of singer Prince \xc2\xbb https://t.co/WEyhYbbJ6R'
723193464641490944,2016-04-21 16:55:32,9,b'Microsoft\xe2\x80\x99s key this earnings season: Discipline https://t.co/pOrpEcRbyf $MSFT'
723192337942368256,2016-04-21 16:51:04,19,b'Never mind: McGregor NOT retiring from the UFC https://t.co/QBBXDJxLXN'
723191639066435584,2016-04-21 16:48:17,17,b'Talk is cheap on climate change: Gabon president https://t.co/g6PNvFmbl7'
723190920145940481,2016-04-21 16:45:26,11,"b""Should the UK stay or go: How to trade a 'Brexit' https://t.co/HhhvCR6V7w"""
723190185186496512,2016-04-21 16:42:31,12,"b""Watch out US\xe2\x80\x94Draghi's QE is coming your way https://t.co/lrT1ust9XW"""
723189120374185988,2016-04-21 16:38:17,12,"b'What do @Pontifex, @NICKIMINAJ, and @LeoDiCaprio have in common?  https://t.co/zBb0QN2cxV #TIME100'"
723183390191718400,2016-04-21 16:15:30,6,"b""Here's why it's so hard to fall asleep in hotels https://t.co/GHYkXtCepK"""
723183348819083264,2016-04-21 16:15:21,21,b'10 iconic US companies that have left America https://t.co/QbE3NxoI3t via @CNBCMakeIt https://t.co/OUwfWQQ6tX'
723182611061989376,2016-04-21 16:12:25,8,b'Amazon is closing Gilt Groupe competitor MyHabit https://t.co/XuV7RwCYM1'
723181884189106177,2016-04-21 16:09:31,8,b'Viacom shares surge on long-term Dish deal https://t.co/3qAWqz7WEZ'
723177655252725760,2016-04-21 15:52:43,17,"b""RT @CNBCnow: Dell's SecureWorks unit IPO expected to price at low end of $15.50-$17.50 range or below - Dow Jones, citing sources"""
723176510958538752,2016-04-21 15:48:10,15,"b""Volkswagen, gov't reach deal on emissions scandal https://t.co/23e0R7NlNf"""
723175758420652032,2016-04-21 15:45:11,7,"b'Walgreens, Duane Reade settle NY overcharge probe https://t.co/K7Kdoxudj7'"
723174959305072640,2016-04-21 15:42:00,8,b'Top Democrat salivates over Trump or Cruz matchup https://t.co/Fiwteb0Vw0'
723174225322885120,2016-04-21 15:39:05,5,b'Wall Street execs face tougher pay regulation https://t.co/9U8ZR2kv5H'
723173541210914816,2016-04-21 15:36:22,12,b'Hillary Clinton has a big problem https://t.co/V3mnRwOpxE'
723173191749931008,2016-04-21 15:34:59,33,b'Shares of Apple fall back into bear market territory \xc2\xbb https://t.co/jJrU7MAfUN https://t.co/g7HUfe66s8'
723172715415371776,2016-04-21 15:33:05,12,b'Once-broke California county to offer muni bonds https://t.co/NVe0dX32EQ'
723170748253138944,2016-04-21 15:25:16,8,b'RT @JonMarino: Wall Street executives face even longer delays for bonus compensation &gt; https://t.co/mEBUa9A7sG'
723169234910629888,2016-04-21 15:19:16,17,b'Judge formally announces that Volkswagen &amp; U.S. have reached a deal over the emissions scandal fallout https://t.co/vxvpowOUxR'
723165567889362944,2016-04-21 15:04:41,20,b'RT @CNBCnow: BREAKING: Viacom &amp; DISH agree to multi-year renewal; shares of Viacom spike higher.'
723165189756035072,2016-04-21 15:03:11,7,b'United CEO: New board will do great https://t.co/L3re9oasep'
723163805350526976,2016-04-21 14:57:41,13,b'8 Latino business founders over the million mark https://t.co/r8GPOkITlh'
723161373618909184,2016-04-21 14:48:01,4,b'Kensho: Stock winners from improving jobs picture https://t.co/SxJ0tabNUA'
723160699355205632,2016-04-21 14:45:21,7,b'Leading indicators tick higher in March https://t.co/0xys7iuKyZ'
723159961065394176,2016-04-21 14:42:25,14,"b""Amazon's Fire tablet now comes with more storage https://t.co/eyswTv2LnF"""
723159542607929344,2016-04-21 14:40:45,4,b'RT @CNBCPro: Kensho: Stock winners from improving jobs picture https://t.co/XnqSSTrIxo by @JohnMelloy https://t.co/L4Rv9UESvl'
723159106366877697,2016-04-21 14:39:01,17,"b""DiCaprio, Minaj: Who made this year's 'Time 100' list https://t.co/hGnfy2C00p"""
723158358493110272,2016-04-21 14:36:02,5,b'Analyst: Under Armour needs to fix THIS https://t.co/zFYIGzBBoY'
723157610665500672,2016-04-21 14:33:04,24,b'Canada aims for marijuana legalization in 2017 https://t.co/CG4DwZ0nYM'
723157221442490368,2016-04-21 14:31:31,10,b'RT @CNBCnow: Natural gas inventories up 7BCF \xc2\xbb https://t.co/XnCzJMW3qy'
723156884119760896,2016-04-21 14:30:11,7,b'Alaska braces for oil losers and survivors https://t.co/CyxGCIbngG'
723156115421290496,2016-04-21 14:27:08,7,b'Sarepta stock nuked by FDA outlook https://t.co/I9ZbXIVBeo'
723154729866530816,2016-04-21 14:21:37,44,b'BREAKING: U.S. regulators propose new rules for curbing Wall Street executive pay.https://t.co/m1Nd3f4H1I'
723150801607208960,2016-04-21 14:06:01,27,b'SunEdison files for bankruptcy protection https://t.co/1B1gc9zHjt'
723150131118374912,2016-04-21 14:03:21,14,b'Jet Blue: From green fuel to a farm at JFK airport https://t.co/64BCxoni92'
723149877425922052,2016-04-21 14:02:20,7,"b'BREAKING: Leading indicators up 0.2% in March, vs. expectations for 0.1% gain https://t.co/jz85ckTkkZ'"
723149554049253376,2016-04-21 14:01:03,13,"b""ECB's Draghi: We haven't talked about helicopter money https://t.co/kkSY8CjpRH"""
723148583466360832,2016-04-21 13:57:12,11,b'10 iconic US companies that have left America https://t.co/swLL2hphy3'
