b'id',b'created_at',b'retweet_count',b'text'
723300557272825856,2016-04-22 00:01:05,0,b'Why Self Care\xc2\xa0Is So Important: https://t.co/aoaNaGDhl5 via @lifehacker'
723210010285711362,2016-04-21 18:01:17,0,b'How to create a killer @LinkedIn r\xc3\xa9sum\xc3\xa9 in 5 minutes: https://t.co/oT7uKrO96l via @Inc @bi_contributors'
723141842490015744,2016-04-21 13:30:25,1,"b""Quick #money tip: Talk to your parents about their finances. It's very important to know where they're at as they head into retirement."""
723006244756148225,2016-04-21 04:31:36,78,"b'RT @girlsHBO: .@jennyslate on riding bikes, being a woman in comedy and her experience on #Girls. \xf0\x9f\x9a\xb2\nhttps://t.co/leDrRxfKaJ'"
723004831011459072,2016-04-21 04:25:59,1,"b""RT @mogeladze1: CFP @SophiaBera answers: 'What should I include in a prenup?' https://t.co/i63XdF2qyA via @bi_contributors"""
722938226995027969,2016-04-21 00:01:19,0,"b'Being a Woman Will Cost You $430,480 Over Your Working Lifetime: https://t.co/Y3RB2zZ9Y7 via @business'"
722934632807665664,2016-04-20 23:47:02,0,"b""@MichaelKitces My parents were like: your friend Michael wrote a really good article. We'll send it to you! \xf0\x9f\x98\x84"""
722933834967228416,2016-04-20 23:43:52,0,b'When your parents email you articles that your friends write @michaelkitces! RT https://t.co/lkGxSHgMrB via @HuffPost50'
722933269268856834,2016-04-20 23:41:37,0,"b""I'm going to Florence and the Machine: How Beautiful Tour on May 19, 2016 and I'm taking my mom! https://t.co/tC4ExHRpS7"""
722847665856364544,2016-04-20 18:01:28,0,b'Trying to mail in your tax returns from #Coachella might be the most #Millennial thing of all time: https://t.co/V4a757kvZ3 via @MercNews'
722833904802099201,2016-04-20 17:06:47,0,"b'How to Pay for Grad School, Law School, or Your MBA - https://t.co/lGFrfe7M81'"
722779359132704769,2016-04-20 13:30:02,0,b'Getting married? My @businessinsider Ask a Financial Planner column discusses how to know if you need a prenup: https://t.co/hB0CV3WqAi'
722632020032122880,2016-04-20 03:44:34,4,b'RT @PeteSeat: What do @OKnox @pwgavin @HotlineJosh @sophiabera @adamwren @nmbush have in common? Guests on Front Row Seat Presents https://\xe2\x80\xa6'
722631951723708418,2016-04-20 03:44:17,1,b'RT @JeremyGinsburg: Jam sessions with @sophiabera ! #MNAcoustics #justinBeibercover #acousticmusic @ Midtown Greenway https://t.co/RcVug0gT\xe2\x80\xa6'
722575722615828482,2016-04-20 00:00:51,0,b'Is Your Home Really an Investment? https://t.co/EeBJ9RZ9jG via @FrugalRules'
722530128144764928,2016-04-19 20:59:41,0,"b""jeremyginsburg's video https://t.co/ft7XAT1nEF"""
722491799630168064,2016-04-19 18:27:22,1,"b""RT @BIYourMoney: CFP @SophiaBera answers: 'What should I include in a prenup?' https://t.co/6gMn4AFUlB https://t.co/pJRm69KXgL"""
722491779778539521,2016-04-19 18:27:18,1,"b'RT @MelisaBoutin: Tax tips, lost tax documents, financial planning &amp; 529 college savings w/ @SophiaBera \xe2\x9e\xa1\xef\xb8\x8f https://t.co/jDUBvTSUgJ via @Far\xe2\x80\xa6'"
722491759922688000,2016-04-19 18:27:13,1,b'RT @PeteSeat: Do you want to be a financially savvy #Millennial? @sophiabera shares the #1 thing you should do today https://t.co/kcxO0tGMZb'
722485093290405888,2016-04-19 18:00:44,1,"b""8 things successful people don't do in their 30s: https://t.co/YlH5iRkDn5 via @bi_strategy"""
722417144181469185,2016-04-19 13:30:43,0,"b""Landing an internship has become way more important and complex than anyone's acknowledging: https://t.co/USYlg2Ldfk via @LinkedIn"""
722244921441259520,2016-04-19 02:06:22,2,"b'RT @PaulAngone: Are you leading #Millennials? Give them a place at the ""Adult Table."" Too many Millennials feel like you have them using pl\xe2\x80\xa6'"
722244751802687488,2016-04-19 02:05:42,1,b'RT @SEIMissyP: Is Financial Life Management the next label / model for financial advice? https://t.co/AfZcwqm1VI via @MichaelKitces https:/\xe2\x80\xa6'
722244602724499456,2016-04-19 02:05:06,1,"b'RT @davidpmariano: FCL051 Find and Use Your Career Superpower w/ @SophiaBera https://t.co/zqfs8zVgRD Sophia, thank you for the great conver\xe2\x80\xa6'"
722244524467175424,2016-04-19 02:04:47,1,"b""RT @PamelaGrutman: CFP @SophiaBera answers: 'What should I include in a prenup?' https://t.co/cO9P166dis via @bi_contributors"""
722244501587292160,2016-04-19 02:04:42,1,b'RT @PeteSeat: Listen to how @sophiabera made the transition from actor to nationally recognized #Millennial financial planner https://t.co/\xe2\x80\xa6'
722213330144927744,2016-04-19 00:00:50,0,b'10 things you can learn about money in 10 minutes that will change your life: https://t.co/XOJzTMIvbW via @businessinsider'
722122831706910720,2016-04-18 18:01:14,0,b'9 Toxic Behaviors Holding Good People Back: https://t.co/aIG9mQi9I0 via @marcandangel'
722054680197644288,2016-04-18 13:30:25,1,b'Simple tricks to save an extra $504.30 this month: https://t.co/AW9meaqwpH @ALOProductivity'
721891609915297792,2016-04-18 02:42:26,2,b'RT @itratedeg: #ICYMI check out the latest #AskFarnoosh on #SoMoney with special guest @SophiaBera https://t.co/xSnVvjT9qX\xc2\xa0 https://t.co/qf\xe2\x80\xa6'
721850814684336128,2016-04-18 00:00:20,6,"b""Quick #money tip: Lots of renters think their landlord's insurance policy covers their home. It doesn't! Get renter's insurance."""
721848339185201156,2016-04-17 23:50:30,2,b'RT @FARNOOSH: #ICYMI check out the latest #AskFarnoosh on #SoMoney with special guest @SophiaBera https://t.co/6KpuhKSQTe'
721848291663724544,2016-04-17 23:50:18,2,b'RT @MoneyNing: RT @sophiabera: How to Downsize Your Lifestyle: https://t.co/A7c8BqmU6y'
721760312920272898,2016-04-17 18:00:42,0,b'Understanding the economic squeeze on #millennials https://t.co/u5phL2cyMN via @BV'
721692207804243968,2016-04-17 13:30:05,0,b'The Life and Lessons of a Freelancer: https://t.co/5BrNuIQ3r0 via @societygrownups'
721488478186401793,2016-04-17 00:00:32,1,b'Can You Handle A $400 Emergency? https://t.co/kUa6z3pUkH via @FrugalRules'
721449006522445824,2016-04-16 21:23:41,17,b'RT @FastCompany: This app takes a new approach to sex ed: Fun\nhttps://t.co/VJRu4pbOQN https://t.co/HHKHCk5kjb'
